,0
0,[[0]]
1,[[1]]
2,[[2]]
3,[[3]]
4,"[[0, 1]]"
5,"[[0, 2]]"
6,"[[0, 3]]"
7,"[[1, 2]]"
8,"[[1, 3]]"
9,"[[2, 3]]"
10,"[[0, 1, 2]]"
11,"[[0, 1, 3]]"
12,"[[0, 2, 3]]"
13,"[[1, 2, 3]]"
14,"[[0, 1, 2, 3]]"
15,"[[0], [1]]"
16,"[[0], [2]]"
17,"[[0], [3]]"
18,"[[0], [1, 2]]"
19,"[[0], [1, 3]]"
20,"[[0], [2, 3]]"
21,"[[0], [1, 2, 3]]"
22,"[[1], [2]]"
23,"[[1], [3]]"
24,"[[1], [0, 2]]"
25,"[[1], [0, 3]]"
26,"[[1], [2, 3]]"
27,"[[1], [0, 2, 3]]"
28,"[[2], [3]]"
29,"[[2], [0, 1]]"
30,"[[2], [0, 3]]"
31,"[[2], [1, 3]]"
32,"[[2], [0, 1, 3]]"
33,"[[3], [0, 1]]"
34,"[[3], [0, 2]]"
35,"[[3], [1, 2]]"
36,"[[3], [0, 1, 2]]"
37,"[[0, 1], [0, 2]]"
38,"[[0, 1], [0, 3]]"
39,"[[0, 1], [1, 2]]"
40,"[[0, 1], [1, 3]]"
41,"[[0, 1], [2, 3]]"
42,"[[0, 1], [0, 2, 3]]"
43,"[[0, 1], [1, 2, 3]]"
44,"[[0, 2], [0, 3]]"
45,"[[0, 2], [1, 2]]"
46,"[[0, 2], [1, 3]]"
47,"[[0, 2], [2, 3]]"
48,"[[0, 2], [0, 1, 3]]"
49,"[[0, 2], [1, 2, 3]]"
50,"[[0, 3], [1, 2]]"
51,"[[0, 3], [1, 3]]"
52,"[[0, 3], [2, 3]]"
53,"[[0, 3], [0, 1, 2]]"
54,"[[0, 3], [1, 2, 3]]"
55,"[[1, 2], [1, 3]]"
56,"[[1, 2], [2, 3]]"
57,"[[1, 2], [0, 1, 3]]"
58,"[[1, 2], [0, 2, 3]]"
59,"[[1, 3], [2, 3]]"
60,"[[1, 3], [0, 1, 2]]"
61,"[[1, 3], [0, 2, 3]]"
62,"[[2, 3], [0, 1, 2]]"
63,"[[2, 3], [0, 1, 3]]"
64,"[[0, 1, 2], [0, 1, 3]]"
65,"[[0, 1, 2], [0, 2, 3]]"
66,"[[0, 1, 2], [1, 2, 3]]"
67,"[[0, 1, 3], [0, 2, 3]]"
68,"[[0, 1, 3], [1, 2, 3]]"
69,"[[0, 2, 3], [1, 2, 3]]"
70,"[[0], [1], [2]]"
71,"[[0], [1], [3]]"
72,"[[0], [1], [2, 3]]"
73,"[[0], [2], [3]]"
74,"[[0], [2], [1, 3]]"
75,"[[0], [3], [1, 2]]"
76,"[[0], [1, 2], [1, 3]]"
77,"[[0], [1, 2], [2, 3]]"
78,"[[0], [1, 3], [2, 3]]"
79,"[[1], [2], [3]]"
80,"[[1], [2], [0, 3]]"
81,"[[1], [3], [0, 2]]"
82,"[[1], [0, 2], [0, 3]]"
83,"[[1], [0, 2], [2, 3]]"
84,"[[1], [0, 3], [2, 3]]"
85,"[[2], [3], [0, 1]]"
86,"[[2], [0, 1], [0, 3]]"
87,"[[2], [0, 1], [1, 3]]"
88,"[[2], [0, 3], [1, 3]]"
89,"[[3], [0, 1], [0, 2]]"
90,"[[3], [0, 1], [1, 2]]"
91,"[[3], [0, 2], [1, 2]]"
92,"[[0, 1], [0, 2], [0, 3]]"
93,"[[0, 1], [0, 2], [1, 2]]"
94,"[[0, 1], [0, 2], [1, 3]]"
95,"[[0, 1], [0, 2], [2, 3]]"
96,"[[0, 1], [0, 2], [1, 2, 3]]"
97,"[[0, 1], [0, 3], [1, 2]]"
98,"[[0, 1], [0, 3], [1, 3]]"
99,"[[0, 1], [0, 3], [2, 3]]"
100,"[[0, 1], [0, 3], [1, 2, 3]]"
101,"[[0, 1], [1, 2], [1, 3]]"
102,"[[0, 1], [1, 2], [2, 3]]"
103,"[[0, 1], [1, 2], [0, 2, 3]]"
104,"[[0, 1], [1, 3], [2, 3]]"
105,"[[0, 1], [1, 3], [0, 2, 3]]"
106,"[[0, 1], [0, 2, 3], [1, 2, 3]]"
107,"[[0, 2], [0, 3], [1, 2]]"
108,"[[0, 2], [0, 3], [1, 3]]"
109,"[[0, 2], [0, 3], [2, 3]]"
110,"[[0, 2], [0, 3], [1, 2, 3]]"
111,"[[0, 2], [1, 2], [1, 3]]"
112,"[[0, 2], [1, 2], [2, 3]]"
113,"[[0, 2], [1, 2], [0, 1, 3]]"
114,"[[0, 2], [1, 3], [2, 3]]"
115,"[[0, 2], [2, 3], [0, 1, 3]]"
116,"[[0, 2], [0, 1, 3], [1, 2, 3]]"
117,"[[0, 3], [1, 2], [1, 3]]"
118,"[[0, 3], [1, 2], [2, 3]]"
119,"[[0, 3], [1, 3], [2, 3]]"
120,"[[0, 3], [1, 3], [0, 1, 2]]"
121,"[[0, 3], [2, 3], [0, 1, 2]]"
122,"[[0, 3], [0, 1, 2], [1, 2, 3]]"
123,"[[1, 2], [1, 3], [2, 3]]"
124,"[[1, 2], [1, 3], [0, 2, 3]]"
125,"[[1, 2], [2, 3], [0, 1, 3]]"
126,"[[1, 2], [0, 1, 3], [0, 2, 3]]"
127,"[[1, 3], [2, 3], [0, 1, 2]]"
128,"[[1, 3], [0, 1, 2], [0, 2, 3]]"
129,"[[2, 3], [0, 1, 2], [0, 1, 3]]"
130,"[[0, 1, 2], [0, 1, 3], [0, 2, 3]]"
131,"[[0, 1, 2], [0, 1, 3], [1, 2, 3]]"
132,"[[0, 1, 2], [0, 2, 3], [1, 2, 3]]"
133,"[[0, 1, 3], [0, 2, 3], [1, 2, 3]]"
134,"[[0], [1], [2], [3]]"
135,"[[0], [1, 2], [1, 3], [2, 3]]"
136,"[[1], [0, 2], [0, 3], [2, 3]]"
137,"[[2], [0, 1], [0, 3], [1, 3]]"
138,"[[3], [0, 1], [0, 2], [1, 2]]"
139,"[[0, 1], [0, 2], [0, 3], [1, 2]]"
140,"[[0, 1], [0, 2], [0, 3], [1, 3]]"
141,"[[0, 1], [0, 2], [0, 3], [2, 3]]"
142,"[[0, 1], [0, 2], [0, 3], [1, 2, 3]]"
143,"[[0, 1], [0, 2], [1, 2], [1, 3]]"
144,"[[0, 1], [0, 2], [1, 2], [2, 3]]"
145,"[[0, 1], [0, 2], [1, 3], [2, 3]]"
146,"[[0, 1], [0, 3], [1, 2], [1, 3]]"
147,"[[0, 1], [0, 3], [1, 2], [2, 3]]"
148,"[[0, 1], [0, 3], [1, 3], [2, 3]]"
149,"[[0, 1], [1, 2], [1, 3], [2, 3]]"
150,"[[0, 1], [1, 2], [1, 3], [0, 2, 3]]"
151,"[[0, 2], [0, 3], [1, 2], [1, 3]]"
152,"[[0, 2], [0, 3], [1, 2], [2, 3]]"
153,"[[0, 2], [0, 3], [1, 3], [2, 3]]"
154,"[[0, 2], [1, 2], [1, 3], [2, 3]]"
155,"[[0, 2], [1, 2], [2, 3], [0, 1, 3]]"
156,"[[0, 3], [1, 2], [1, 3], [2, 3]]"
157,"[[0, 3], [1, 3], [2, 3], [0, 1, 2]]"
158,"[[0, 1, 2], [0, 1, 3], [0, 2, 3], [1, 2, 3]]"
159,"[[0, 1], [0, 2], [0, 3], [1, 2], [1, 3]]"
160,"[[0, 1], [0, 2], [0, 3], [1, 2], [2, 3]]"
161,"[[0, 1], [0, 2], [0, 3], [1, 3], [2, 3]]"
162,"[[0, 1], [0, 2], [1, 2], [1, 3], [2, 3]]"
163,"[[0, 1], [0, 3], [1, 2], [1, 3], [2, 3]]"
164,"[[0, 2], [0, 3], [1, 2], [1, 3], [2, 3]]"
165,"[[0, 1], [0, 2], [0, 3], [1, 2], [1, 3], [2, 3]]"
