,Soprano,Alto,Tenor,Bass
0,0,7,4,0
1,0,7,4,0
2,0,7,4,0
3,0,7,4,0
4,0,7,4,0
5,0,7,4,0
6,0,7,4,0
7,0,7,4,0
8,0,9,5,9
9,0,9,5,9
10,0,9,4,9
11,0,9,4,9
12,7,7,2,B
13,7,7,2,B
14,7,7,2,B
15,7,7,2,B
16,4,7,0,0
17,4,7,0,0
18,4,7,0,0
19,4,7,0,0
20,4,7,B,7
21,4,7,B,7
22,2,7,B,7
23,2,7,B,7
24,0,4,0,9
25,0,4,0,9
26,0,4,0,9
27,0,4,0,9
28,0,9,5,5
29,0,9,5,5
30,0,7,4,5
31,0,7,4,5
32,0,9,5,4
33,0,9,5,4
34,2,B,5,2
35,2,B,5,2
36,4,0,7,0
37,4,0,7,0
38,4,0,7,0
39,4,0,7,0
40,2,B,7,7
41,2,B,7,7
42,2,B,7,7
43,2,B,7,7
44,2,B,7,7
45,2,B,7,7
46,2,B,7,7
47,2,B,7,7
48,4,0,7,0
49,4,0,7,0
50,4,0,7,0
51,4,0,7,0
52,7,7,2,B
53,7,7,2,B
54,7,7,2,B
55,7,7,2,B
56,7,9,4,0
57,7,9,4,0
58,7,9,4,0
59,7,9,4,0
60,5,B,5,2
61,5,B,5,2
62,5,B,5,2
63,5,B,5,2
64,4,0,7,4
65,4,0,7,4
66,4,0,7,4
67,4,0,7,4
68,2,0,9,5
69,2,0,9,5
70,2,0,9,5
71,2,0,9,5
72,2,B,7,7
73,2,B,7,7
74,2,B,5,7
75,2,B,5,7
76,0,7,4,0
77,0,7,4,0
78,0,7,4,0
79,0,7,4,0
80,0,7,4,0
81,0,7,4,0
82,0,7,4,0
83,0,7,4,0
84,4,0,7,0
85,4,0,7,0
86,4,0,7,0
87,4,0,7,0
88,4,0,7,0
89,4,0,7,0
90,4,B,7,0
91,4,B,7,0
92,5,9,5,2
93,5,9,5,2
94,5,B,5,2
95,5,B,5,2
96,7,0,4,4
97,7,0,4,4
98,7,0,2,4
99,7,0,2,4
100,7,0,4,4
101,7,0,4,4
102,7,2,5,4
103,7,2,5,4
104,7,0,7,4
105,7,0,7,4
106,5,B,7,2
107,5,B,7,2
108,4,0,7,0
109,4,0,7,0
110,4,0,7,0
111,4,0,7,0
112,2,B,7,7
113,2,B,7,7
114,2,B,7,7
115,2,B,7,7
116,2,B,7,7
117,2,B,7,7
118,2,B,7,7
119,2,B,7,7
120,0,9,4,9
121,0,9,4,9
122,0,9,4,9
123,0,9,4,9
124,4,9,0,9
125,4,9,0,9
126,4,9,0,9
127,4,9,0,9
128,4,B,4,7
129,4,B,4,7
130,4,0,4,7
131,4,0,4,7
132,5,2,9,5
133,5,2,9,5
134,5,2,9,5
135,5,2,9,5
136,7,2,7,4
137,7,2,7,4
138,7,2,7,4
139,7,2,7,4
140,7,0,7,4
141,7,0,7,4
142,7,0,7,5
143,7,0,7,5
144,5,0,7,7
145,5,0,7,7
146,5,B,7,7
147,5,B,7,7
148,4,0,7,0
149,4,0,7,0
150,4,0,7,2
151,4,0,7,2
152,4,0,7,4
153,4,0,7,4
154,4,0,7,4
155,4,0,7,4
156,4,A,7,0
157,4,A,7,0
158,4,A,7,0
159,4,A,7,0
160,0,9,5,5
161,0,9,5,5
162,0,9,5,5
163,0,9,5,5
164,0,9,5,5
165,0,9,5,5
166,0,9,5,5
167,0,9,5,5
168,4,0,7,0
169,4,0,7,0
170,4,0,7,0
171,4,0,7,0
172,7,2,7,B
173,7,2,7,B
174,7,2,5,B
175,7,2,5,B
176,7,2,4,0
177,7,2,4,0
178,7,0,4,0
179,7,0,4,0
180,5,B,5,2
181,5,B,5,2
182,5,B,5,2
183,5,B,5,2
184,4,0,7,4
185,4,0,7,4
186,4,0,7,4
187,4,0,7,4
188,4,0,7,0
189,4,0,7,0
190,4,0,7,0
191,4,0,7,0
192,2,B,7,7
193,2,B,7,7
194,2,B,5,7
195,2,B,5,7
196,0,B,4,9
197,0,B,4,9
198,0,9,4,7
199,0,9,4,7
200,0,9,5,5
201,0,9,5,5
202,2,B,5,4
203,2,B,5,4
204,4,0,7,2
205,4,0,7,2
206,4,0,7,0
207,4,0,7,0
208,2,B,7,7
209,2,B,7,7
210,2,B,7,7
211,2,B,7,7
212,2,B,7,7
213,2,B,7,7
214,2,B,7,7
215,2,B,7,7
216,4,0,7,0
217,4,0,7,0
218,4,0,7,0
219,4,0,7,0
220,7,2,7,0
221,7,2,7,0
222,7,2,7,0
223,7,2,7,0
224,7,2,7,B
225,7,2,7,B
226,7,2,7,B
227,7,2,7,B
228,5,0,9,9
229,5,0,9,9
230,5,B,9,9
231,5,B,9,9
232,4,0,9,9
233,4,0,9,9
234,4,0,9,7
235,4,0,9,7
236,2,0,9,5
237,2,0,9,5
238,2,0,9,5
239,2,0,9,5
240,2,B,7,7
241,2,B,7,7
242,2,B,5,7
243,2,B,5,7
0,0,7,4,0
1,0,7,4,0
2,0,7,4,0
3,0,7,4,0
4,0,7,4,0
5,0,7,4,0
6,0,7,4,0
7,0,7,4,0
8,0,9,5,9
9,0,9,5,9
10,0,9,4,9
11,0,9,4,9
12,7,7,2,B
13,7,7,2,B
14,7,7,2,B
15,7,7,2,B
16,4,7,0,0
17,4,7,0,0
18,4,7,0,0
19,4,7,0,0
20,4,7,B,7
21,4,7,B,7
22,2,7,B,7
23,2,7,B,7
24,0,4,0,9
25,0,4,0,9
26,0,4,0,9
27,0,4,0,9
28,0,9,5,5
29,0,9,5,5
30,0,7,4,5
31,0,7,4,5
32,0,9,5,4
33,0,9,5,4
34,2,B,5,2
35,2,B,5,2
36,4,0,7,0
37,4,0,7,0
38,4,0,7,0
39,4,0,7,0
40,2,B,7,7
41,2,B,7,7
42,2,B,7,7
43,2,B,7,7
44,2,B,7,7
45,2,B,7,7
46,2,B,7,7
47,2,B,7,7
48,4,0,7,0
49,4,0,7,0
50,4,0,7,0
51,4,0,7,0
52,7,7,2,B
53,7,7,2,B
54,7,7,2,B
55,7,7,2,B
56,7,9,4,0
57,7,9,4,0
58,7,9,4,0
59,7,9,4,0
60,5,B,5,2
61,5,B,5,2
62,5,B,5,2
63,5,B,5,2
64,4,0,7,4
65,4,0,7,4
66,4,0,7,4
67,4,0,7,4
68,2,0,9,5
69,2,0,9,5
70,2,0,9,5
71,2,0,9,5
72,2,B,7,7
73,2,B,7,7
74,2,B,5,7
75,2,B,5,7
76,0,7,4,0
77,0,7,4,0
78,0,7,4,0
79,0,7,4,0
80,0,7,4,0
81,0,7,4,0
82,0,7,4,0
83,0,7,4,0
84,4,0,7,0
85,4,0,7,0
86,4,0,7,0
87,4,0,7,0
88,4,0,7,0
89,4,0,7,0
90,4,B,7,0
91,4,B,7,0
92,5,9,5,2
93,5,9,5,2
94,5,B,5,2
95,5,B,5,2
96,7,0,4,4
97,7,0,4,4
98,7,0,2,4
99,7,0,2,4
100,7,0,4,4
101,7,0,4,4
102,7,2,5,4
103,7,2,5,4
104,7,0,7,4
105,7,0,7,4
106,5,B,7,2
107,5,B,7,2
108,4,0,7,0
109,4,0,7,0
110,4,0,7,0
111,4,0,7,0
112,2,B,7,7
113,2,B,7,7
114,2,B,7,7
115,2,B,7,7
116,2,B,7,7
117,2,B,7,7
118,2,B,7,7
119,2,B,7,7
120,0,9,4,9
121,0,9,4,9
122,0,9,4,9
123,0,9,4,9
124,4,9,0,9
125,4,9,0,9
126,4,9,0,9
127,4,9,0,9
128,4,B,4,7
129,4,B,4,7
130,4,0,4,7
131,4,0,4,7
132,5,2,9,5
133,5,2,9,5
134,5,2,9,5
135,5,2,9,5
136,7,2,7,4
137,7,2,7,4
138,7,2,7,4
139,7,2,7,4
140,7,0,7,4
141,7,0,7,4
142,7,0,7,5
143,7,0,7,5
144,5,0,7,7
145,5,0,7,7
146,5,B,7,7
147,5,B,7,7
148,4,0,7,0
149,4,0,7,0
150,4,0,7,2
151,4,0,7,2
152,4,0,7,4
153,4,0,7,4
154,4,0,7,4
155,4,0,7,4
156,4,A,7,0
157,4,A,7,0
158,4,A,7,0
159,4,A,7,0
160,0,9,5,5
161,0,9,5,5
162,0,9,5,5
163,0,9,5,5
164,0,9,5,5
165,0,9,5,5
166,0,9,5,5
167,0,9,5,5
168,4,0,7,0
169,4,0,7,0
170,4,0,7,0
171,4,0,7,0
172,7,2,7,B
173,7,2,7,B
174,7,2,5,B
175,7,2,5,B
176,7,2,4,0
177,7,2,4,0
178,7,0,4,0
179,7,0,4,0
180,5,B,5,2
181,5,B,5,2
182,5,B,5,2
183,5,B,5,2
184,4,0,7,4
185,4,0,7,4
186,4,0,7,4
187,4,0,7,4
188,4,0,7,0
189,4,0,7,0
190,4,0,7,0
191,4,0,7,0
192,2,B,7,7
193,2,B,7,7
194,2,B,5,7
195,2,B,5,7
196,0,B,4,9
197,0,B,4,9
198,0,9,4,7
199,0,9,4,7
200,0,9,5,5
201,0,9,5,5
202,2,B,5,4
203,2,B,5,4
204,4,0,7,2
205,4,0,7,2
206,4,0,7,0
207,4,0,7,0
208,2,B,7,7
209,2,B,7,7
210,2,B,7,7
211,2,B,7,7
212,2,B,7,7
213,2,B,7,7
214,2,B,7,7
215,2,B,7,7
216,4,0,7,0
217,4,0,7,0
218,4,0,7,0
219,4,0,7,0
220,7,2,7,0
221,7,2,7,0
222,7,2,7,0
223,7,2,7,0
224,7,2,7,B
225,7,2,7,B
226,7,2,7,B
227,7,2,7,B
228,5,0,9,9
229,5,0,9,9
230,5,B,9,9
231,5,B,9,9
232,4,0,9,9
233,4,0,9,9
234,4,0,9,7
235,4,0,9,7
236,2,0,9,5
237,2,0,9,5
238,2,0,9,5
239,2,0,9,5
240,2,B,7,7
241,2,B,7,7
242,2,B,5,7
243,2,B,5,7
0,0,9,4,9
1,0,9,4,9
2,0,9,4,9
3,0,9,4,9
4,0,7,4,4
5,0,7,4,4
6,0,7,2,4
7,0,7,2,4
8,0,9,0,5
9,0,9,0,5
10,0,9,B,5
11,0,9,B,5
12,2,9,9,6
13,2,9,9,6
14,2,9,9,6
15,2,9,9,6
16,A,7,2,7
17,A,7,2,7
18,A,7,2,7
19,A,7,2,7
20,9,6,2,2
21,9,6,2,2
22,9,6,0,2
23,9,6,0,2
24,7,2,B,7
25,7,2,B,7
26,7,2,B,7
27,7,2,B,7
28,2,B,7,7
29,2,B,7,7
30,2,B,7,7
31,2,B,7,7
32,4,0,7,0
33,4,0,7,0
34,4,0,7,0
35,4,0,7,0
36,2,B,6,2
37,2,B,6,2
38,2,9,6,2
39,2,9,6,2
40,0,7,4,4
41,0,7,4,4
42,0,7,4,4
43,0,7,4,4
44,B,7,4,2
45,B,7,4,2
46,9,7,4,0
47,9,7,4,0
48,B,7,2,2
49,B,7,2,2
50,B,7,2,2
51,B,7,2,2
52,9,6,2,2
53,9,6,2,2
54,9,6,0,2
55,9,6,0,2
56,7,2,B,7
57,7,2,B,7
58,7,2,B,7
59,7,2,B,7
60,0,7,4,0
61,0,7,4,0
62,0,7,4,B
63,0,7,4,B
64,0,9,4,9
65,0,9,4,9
66,0,9,4,9
67,0,9,4,9
68,0,7,4,4
69,0,7,4,4
70,0,7,2,4
71,0,7,2,4
72,0,9,0,5
73,0,9,0,5
74,0,9,B,5
75,0,9,B,5
76,2,9,9,6
77,2,9,9,6
78,2,9,9,6
79,2,9,9,6
80,A,7,2,7
81,A,7,2,7
82,A,7,2,7
83,A,7,2,7
84,9,6,2,2
85,9,6,2,2
86,9,6,0,2
87,9,6,0,2
88,7,2,B,7
89,7,2,B,7
90,7,2,B,7
91,7,2,B,7
92,2,B,7,7
93,2,B,7,7
94,2,B,7,7
95,2,B,7,7
96,4,0,7,0
97,4,0,7,0
98,4,0,7,0
99,4,0,7,0
100,2,B,6,2
101,2,B,6,2
102,2,9,6,2
103,2,9,6,2
104,0,7,4,4
105,0,7,4,4
106,0,7,4,4
107,0,7,4,4
108,B,7,4,2
109,B,7,4,2
110,9,7,4,0
111,9,7,4,0
112,B,7,2,2
113,B,7,2,2
114,B,7,2,2
115,B,7,2,2
116,9,6,2,2
117,9,6,2,2
118,9,6,0,2
119,9,6,0,2
120,7,2,B,7
121,7,2,B,7
122,7,2,B,7
123,7,2,B,7
124,7,4,B,4
125,7,4,B,4
126,7,2,B,4
127,7,2,B,4
128,5,0,0,9
129,5,0,0,9
130,5,0,2,B
131,5,0,2,B
132,4,0,4,0
133,4,0,4,0
134,4,0,5,0
135,4,0,5,0
136,2,B,7,7
137,2,B,7,7
138,2,B,7,7
139,2,B,7,7
140,0,0,7,4
141,0,0,7,4
142,0,A,7,0
143,0,A,7,0
144,0,9,5,5
145,0,9,5,5
146,2,B,5,5
147,2,B,5,5
148,4,0,7,4
149,4,0,7,4
150,4,0,7,5
151,4,0,7,5
152,2,B,7,7
153,2,B,7,7
154,2,B,7,7
155,2,B,7,7
156,4,1,7,4
157,4,1,7,4
158,4,1,7,4
159,4,1,7,4
160,5,2,9,2
161,5,2,9,2
162,5,0,2,2
163,5,0,2,2
164,4,A,2,4
165,4,A,2,4
166,4,A,1,4
167,4,A,1,4
168,2,9,2,5
169,2,9,2,5
170,2,7,2,A
171,2,7,2,A
172,1,9,4,9
173,1,9,4,9
174,1,9,4,9
175,1,9,4,9
176,2,9,5,2
177,2,9,5,2
178,2,9,5,2
179,2,9,5,2
180,2,9,5,2
181,2,9,5,2
182,2,9,5,2
183,2,9,5,2
184,2,9,5,2
185,2,9,5,2
186,2,9,5,2
187,2,9,5,2
188,7,7,B,4
189,7,7,B,4
190,7,5,B,4
191,7,5,B,4
192,0,4,0,9
193,0,4,0,9
194,0,4,0,9
195,0,4,0,9
196,2,5,B,7
197,2,5,B,7
198,2,5,9,5
199,2,5,9,5
200,4,7,7,4
201,4,7,7,4
202,4,7,7,4
203,4,7,7,4
204,5,9,5,2
205,5,9,5,2
206,5,B,5,2
207,5,B,5,2
208,7,0,4,0
209,7,0,4,0
210,7,0,5,2
211,7,0,5,2
212,5,0,7,4
213,5,0,7,4
214,4,0,9,5
215,4,0,9,5
216,2,7,B,7
217,2,7,B,7
218,2,7,B,7
219,2,7,B,7
220,5,2,9,2
221,5,2,9,2
222,5,2,9,2
223,5,2,9,2
224,4,0,9,9
225,4,0,9,9
226,4,B,7,B
227,4,B,7,B
228,2,9,5,0
229,2,9,5,0
230,2,9,4,0
231,2,9,4,0
232,7,7,2,B
233,7,7,2,B
234,7,7,2,7
235,7,7,2,7
236,7,9,4,0
237,7,9,4,0
238,5,B,5,0
239,5,B,5,0
240,4,0,7,0
241,4,0,7,0
242,2,0,7,B
243,2,0,7,B
244,0,0,7,9
245,0,0,7,9
246,2,0,5,9
247,2,0,5,9
248,4,0,4,7
249,4,0,4,7
250,4,0,9,5
251,4,0,9,5
252,2,B,2,7
253,2,B,2,7
254,2,B,7,7
255,2,B,5,7
256,0,7,4,0
257,0,7,4,0
258,0,7,4,0
259,0,7,4,0
260,0,7,4,0
261,0,7,4,0
262,0,7,4,0
263,0,7,4,0
264,0,7,4,0
265,0,7,4,0
266,0,7,4,0
267,0,7,4,0
0,7,2,2,B
1,7,2,2,B
2,7,4,2,B
3,7,4,2,B
4,7,5,0,7
5,7,5,0,7
6,7,5,B,7
7,7,5,B,7
8,7,4,0,0
9,7,4,0,0
10,7,4,0,0
11,7,4,0,0
12,A,2,5,2
