,Soprano,Alto,Tenor,Bass
33,0,9,5,4
53,7,7,2,B
181,5,B,5,2
154,4,0,7,4
182,5,B,5,2
144,5,0,7,7
56,7,9,4,0
219,4,0,7,0
240,2,7,B,7
104,7,0,7,4
30,0,7,4,5
92,5,9,5,2
212,2,B,7,7
173,7,2,7,B
223,7,2,7,0
61,5,B,5,2
43,2,B,7,7
15,7,7,2,B
68,2,0,9,5
110,4,0,7,0
143,7,0,7,5
109,4,0,7,0
3,0,7,4,0
224,7,2,7,B
9,7,4,0,0
190,4,0,7,0
70,2,0,9,5
152,4,0,7,4
68,2,0,9,5
80,0,7,4,0
126,4,9,0,9
183,5,B,5,2
110,4,0,7,0
59,7,9,4,0
158,4,A,7,0
82,0,7,4,0
12,7,7,2,B
170,4,0,7,0
100,7,0,4,4
218,4,0,7,0
51,4,0,7,0
174,7,2,5,B
161,0,9,5,5
128,5,0,0,9
74,2,B,5,7
101,7,0,4,4
220,7,2,7,0
58,7,9,4,0
236,2,0,9,5
30,0,7,4,5
15,A,2,7,4
112,2,B,7,7
3,0,7,4,0
53,7,7,2,B
115,2,B,7,7
225,7,2,7,B
184,4,0,7,4
179,7,0,4,0
58,7,9,4,0
187,4,0,7,4
109,4,0,7,0
60,5,B,5,2
55,9,0,6,2
32,0,9,5,4
119,2,B,7,7
44,2,B,7,7
31,0,7,4,5
108,4,0,7,0
152,4,0,7,4
152,4,0,7,4
100,7,0,4,4
158,4,A,7,0
168,4,0,7,0
35,2,B,5,2
32,0,9,5,4
107,5,B,7,2
133,5,2,9,5
118,2,B,7,7
157,4,A,7,0
18,4,7,0,0
102,7,2,5,4
222,7,2,7,0
52,7,7,2,B
134,5,2,9,5
10,0,9,4,9
105,7,0,7,4
3,0,7,4,0
39,4,0,7,0
168,4,0,7,0
39,4,0,7,0
107,5,B,7,2
193,2,B,7,7
184,4,0,7,4
121,0,9,4,9
103,7,2,5,4
88,4,0,7,0
14,7,7,2,B
192,2,B,7,7
146,5,B,7,7
7,0,7,4,0
135,5,2,9,5
32,0,9,5,4
16,4,7,0,0
132,5,2,9,5
97,7,0,4,4
48,4,0,7,0
100,7,0,4,4
70,2,0,9,5
76,0,7,4,0
62,5,B,5,2
107,5,B,7,2
204,4,0,7,2
38,4,0,7,0
196,0,B,4,9
139,7,2,7,4
67,4,0,7,4
211,2,B,7,7
3,0,9,4,9
51,4,0,7,0
76,0,7,4,0
31,0,7,4,5
81,0,7,4,0
77,0,7,4,0
3,0,7,4,0
173,7,2,7,B
114,2,B,7,7
34,2,B,5,2
151,4,0,7,2
183,5,B,5,2
117,2,B,7,7
12,7,7,2,B
19,4,7,0,0
85,4,0,7,0
190,4,0,7,0
110,4,0,7,0
38,4,0,7,0
150,4,0,7,2
211,2,B,7,7
116,2,B,7,7
12,7,7,2,B
214,2,B,7,7
56,7,9,4,0
58,7,9,4,0
74,2,B,5,7
208,2,B,7,7
140,7,0,7,4
208,2,B,7,7
158,4,A,7,0
127,4,9,0,9
65,4,0,7,4
44,2,B,7,7
242,2,B,5,7
60,5,B,5,2
157,4,A,7,0
13,7,7,2,B
150,4,0,7,2
149,4,0,7,0
190,4,0,7,0
123,7,2,B,7
71,2,0,9,5
56,7,9,4,0
0,0,7,4,0
117,2,B,7,7
40,2,B,7,7
7,0,7,4,0
195,2,B,5,7
100,7,0,4,4
151,4,0,7,2
177,7,2,4,0
126,4,9,0,9
172,7,2,7,B
143,7,0,7,5
198,0,9,4,7
4,0,7,4,0
72,2,B,7,7
92,5,9,5,2
198,0,9,4,7
150,4,0,7,2
138,7,2,7,4
15,7,7,2,B
181,5,B,5,2
208,2,B,7,7
8,0,9,5,9
184,4,0,7,4
16,4,7,0,0
16,4,7,0,0
140,7,0,7,4
178,7,0,4,0
133,5,2,9,5
96,7,0,4,4
24,4,0,7,0
49,4,0,7,0
235,4,0,9,7
75,2,B,5,7
123,0,9,4,9
24,0,4,0,9
25,0,4,0,9
132,5,2,9,5
145,5,0,7,7
6,0,7,4,0
29,0,9,5,5
100,7,0,4,4
46,2,B,7,7
187,4,0,7,4
67,4,0,7,4
143,7,0,7,5
182,5,B,5,2
53,7,7,2,B
137,7,2,7,4
82,0,7,4,0
156,4,A,7,0
144,5,0,7,7
45,2,B,7,7
186,4,0,7,4
30,0,7,4,5
76,0,7,4,0
14,7,7,2,B
49,4,0,7,0
184,4,0,7,4
140,7,0,7,4
36,4,0,7,0
98,7,0,2,4
49,4,0,7,0
30,0,7,4,5
177,7,2,4,0
257,4,7,0,4
47,2,B,7,7
217,4,0,7,0
19,4,7,0,0
138,7,2,7,4
175,7,2,5,B
8,0,9,5,9
214,2,B,7,7
66,0,9,4,9
157,4,A,7,0
191,4,0,7,0
6,0,7,4,0
50,4,0,7,0
112,2,B,7,7
46,2,B,7,7
133,5,2,9,5
64,4,0,7,4
37,4,0,7,0
102,7,2,5,4
124,4,9,0,9
162,0,9,5,5
10,0,9,4,9
51,4,0,7,0
186,4,0,7,4
144,5,0,7,7
174,7,2,5,B
234,4,0,9,7
79,0,7,4,0
90,4,B,7,0
32,0,9,5,4
7,0,7,4,0
74,2,B,5,7
36,4,0,7,0
72,2,B,7,7
42,4,0,4,9
32,0,9,5,4
189,4,0,7,0
24,0,4,0,9
175,7,2,5,B
130,4,0,4,7
20,4,7,B,7
188,4,0,7,0
94,5,B,5,2
0,0,7,4,0
131,4,0,4,7
146,5,B,7,7
39,4,0,7,0
26,0,4,0,9
49,4,0,7,0
192,2,B,7,7
143,7,0,7,5
86,4,0,7,0
26,0,4,0,9
145,5,0,7,7
98,7,0,2,4
22,2,7,B,7
51,4,0,7,0
117,2,B,7,7
178,7,0,4,0
231,5,B,9,9
86,4,0,7,0
161,0,9,5,5
148,4,0,7,0
62,5,B,5,2
118,2,B,7,7
75,2,B,5,7
142,7,0,7,5
52,7,7,2,B
124,4,9,0,9
131,4,0,4,7
37,4,0,7,0
13,7,7,2,B
174,7,2,5,B
44,2,B,7,7
108,6,9,2,2
203,2,B,5,4
225,7,2,7,B
138,7,2,7,4
8,0,9,5,9
87,4,0,7,0
113,2,B,7,7
18,4,7,0,0
65,4,0,7,4
72,2,B,7,7
65,4,0,7,4
53,7,7,2,B
140,7,0,7,4
11,0,9,4,9
1,0,7,4,0
20,4,7,B,7
125,4,9,0,9
99,7,0,2,4
42,2,B,7,7
77,0,7,4,0
66,4,0,7,4
159,4,A,7,0
41,2,B,7,7
46,2,B,7,7
0,0,7,4,0
96,7,0,4,4
101,7,0,4,4
178,7,0,4,0
122,0,9,4,9
76,0,7,4,0
15,7,7,2,B
82,0,7,4,0
119,2,B,7,7
14,2,9,9,6
64,4,0,7,4
118,2,B,7,7
65,4,0,7,4
161,0,9,5,5
89,4,0,7,0
2,0,7,4,0
171,4,0,7,0
1,0,7,4,0
34,2,B,5,2
39,4,0,7,0
89,4,0,7,0
89,4,0,7,0
222,7,2,7,0
178,7,0,4,0
20,4,7,B,7
72,2,B,7,7
7,0,7,4,0
98,7,0,2,4
206,4,0,7,0
117,2,B,7,7
218,4,0,7,0
127,4,9,0,9
184,4,0,7,4
23,9,6,0,2
209,2,B,7,7
168,4,0,7,0
61,5,B,5,2
117,2,B,7,7
8,0,9,5,9
230,5,B,9,9
121,0,9,4,9
78,0,7,4,0
59,7,9,4,0
79,0,7,4,0
60,5,B,5,2
17,4,7,0,0
11,7,4,0,0
108,4,0,7,0
110,4,0,7,0
117,2,B,7,7
17,4,7,0,0
100,7,0,4,4
137,7,2,7,4
221,7,2,7,0
192,2,B,7,7
172,7,2,7,B
39,4,0,7,0
16,4,7,0,0
151,2,B,4,8
163,0,9,5,5
107,5,B,7,2
147,5,B,7,7
149,4,0,7,0
177,7,2,4,0
112,2,B,7,7
207,4,0,7,0
206,4,0,7,0
78,0,7,4,0
164,0,9,5,5
42,2,B,7,7
19,4,7,0,0
122,0,9,4,9
177,7,2,4,0
190,4,0,7,0
67,4,0,7,4
142,7,0,7,5
31,0,7,4,5
34,2,B,5,2
96,7,0,4,4
162,0,9,5,5
156,4,A,7,0
125,4,9,0,9
150,4,0,7,2
167,0,9,5,5
109,4,0,7,0
204,4,0,7,2
1,0,7,4,0
8,0,9,5,9
86,4,0,7,0
150,4,0,7,2
13,7,7,2,B
175,7,2,5,B
242,2,B,5,7
197,0,B,4,9
96,7,0,4,4
56,7,9,4,0
177,7,2,4,0
183,5,B,5,2
112,2,B,7,7
100,7,0,4,4
219,4,0,7,0
121,0,9,4,9
25,7,2,B,7
217,4,0,7,0
236,2,0,9,5
17,4,7,0,0
107,5,B,7,2
46,2,B,7,7
167,0,9,5,5
45,B,7,4,2
58,7,9,4,0
106,5,B,7,2
41,2,B,7,7
187,4,0,7,4
73,2,B,7,7
156,4,A,7,0
106,5,B,7,2
134,5,2,9,5
59,7,9,4,0
178,7,0,4,0
112,2,B,7,7
82,0,7,4,0
83,0,7,4,0
107,5,B,7,2
81,0,7,4,0
156,4,A,7,0
35,2,B,5,2
119,2,B,7,7
32,0,9,5,4
169,4,0,7,0
186,4,0,7,4
101,7,0,4,4
116,2,B,7,7
157,4,A,7,0
20,4,7,B,7
234,4,0,9,7
7,0,7,4,0
144,5,0,7,7
15,7,7,2,B
182,5,B,5,2
160,0,9,5,5
118,2,B,7,7
263,2,A,5,7
3,0,7,4,0
5,0,7,4,0
235,4,0,9,7
122,0,9,4,9
139,7,2,7,4
238,2,0,9,5
57,7,9,4,0
175,7,2,5,B
65,4,0,7,4
88,4,0,7,0
36,4,0,7,0
171,4,0,7,0
44,2,B,7,7
51,4,0,7,0
16,4,7,0,0
40,2,B,7,7
8,0,9,5,9
96,7,0,4,4
82,0,7,4,0
112,0,7,4,0
158,4,A,7,0
223,7,2,7,0
176,7,2,4,0
181,5,B,5,2
32,0,9,5,4
238,2,0,9,5
222,7,2,7,0
89,4,0,7,0
75,2,B,5,7
61,5,B,5,2
177,7,2,4,0
90,4,B,7,0
215,2,B,7,7
36,4,0,7,0
138,7,2,7,4
67,4,0,7,4
135,5,2,9,5
48,4,0,7,0
68,2,0,9,5
106,5,B,7,2
176,7,2,4,0
17,4,7,0,0
61,5,B,5,2
40,2,B,7,7
135,5,2,9,5
94,5,B,5,2
75,2,B,5,7
133,5,2,9,5
216,4,0,7,0
0,0,7,4,0
213,2,B,7,7
27,0,4,0,9
94,5,B,5,2
99,7,0,2,4
25,0,4,0,9
196,0,B,4,9
80,0,7,4,0
188,4,0,7,0
53,7,7,2,B
48,4,0,7,0
137,7,2,7,4
41,2,B,7,7
98,7,0,2,4
111,4,0,7,0
59,7,9,4,0
100,7,0,4,4
59,7,9,4,0
65,4,0,7,4
29,0,9,5,5
49,4,0,7,0
179,7,0,4,0
27,0,4,0,9
109,4,0,7,0
187,4,0,7,4
202,2,B,5,4
8,0,9,5,9
38,4,0,7,0
83,A,7,2,7
146,5,B,7,7
118,2,B,7,7
55,7,7,2,B
100,7,0,4,4
65,4,0,7,4
139,7,2,7,4
25,0,4,0,9
27,0,4,0,9
101,7,0,4,4
6,0,7,4,0
104,7,0,7,4
114,2,B,7,7
40,2,B,7,7
32,0,9,5,4
15,7,7,2,B
206,4,0,7,0
140,7,0,7,4
8,0,9,5,9
165,0,9,5,5
40,2,B,7,7
106,5,B,7,2
159,4,A,7,0
133,5,2,9,5
136,7,2,7,4
145,5,0,7,7
178,7,0,4,0
7,0,7,4,0
104,7,0,7,4
116,2,B,7,7
140,7,0,7,4
180,5,B,5,2
225,7,2,7,B
0,0,7,4,0
107,5,B,7,2
175,7,2,5,B
171,4,0,7,0
150,4,0,7,5
125,4,9,0,9
229,5,0,9,9
27,0,4,0,9
21,4,7,B,7
8,0,9,5,9
90,4,B,7,0
119,2,B,7,7
179,7,0,4,0
129,4,B,4,7
109,4,0,7,0
142,7,0,7,5
150,4,0,7,2
183,5,B,5,2
108,4,0,7,0
71,2,0,9,5
89,4,0,7,0
24,0,4,0,9
4,0,7,4,0
126,4,9,0,9
7,0,7,4,0
189,4,0,7,0
39,4,0,7,0
2,0,7,4,0
187,4,0,7,4
77,0,7,4,0
133,5,2,9,5
65,4,0,7,4
91,4,B,7,0
206,4,0,7,0
119,2,B,7,7
218,4,0,7,0
112,2,B,7,7
35,2,B,5,2
137,7,2,7,4
83,0,7,4,0
27,0,4,0,9
124,4,9,0,9
61,5,B,5,2
89,4,0,7,0
136,2,B,7,7
143,7,0,7,5
39,4,0,7,0
83,0,7,4,0
219,4,0,7,0
12,7,7,2,B
186,4,0,7,4
60,5,B,5,2
152,4,0,7,4
169,4,0,7,0
104,7,0,7,4
121,0,9,4,9
66,4,0,7,4
4,0,7,4,0
112,2,B,7,7
123,0,9,4,9
221,7,2,7,0
197,0,B,4,9
219,4,0,7,0
12,7,7,2,B
109,4,0,7,0
73,2,B,7,7
123,0,9,4,9
85,4,0,7,0
127,4,9,0,9
33,0,9,5,4
92,5,9,5,2
146,5,B,7,7
7,0,7,4,0
201,0,9,5,5
36,4,0,7,0
144,5,0,7,7
102,7,2,5,4
42,2,B,7,7
83,0,7,4,0
83,0,7,4,0
196,0,B,4,9
91,4,B,7,0
211,2,B,7,7
8,0,9,5,9
194,2,B,5,7
148,4,0,7,0
22,2,7,B,7
17,4,7,0,0
180,5,B,5,2
124,4,9,0,9
32,0,9,5,4
9,0,9,5,9
205,4,0,7,2
4,0,7,4,0
218,4,0,7,0
28,0,9,5,5
69,2,0,9,5
49,4,0,7,0
114,2,B,7,7
225,7,2,7,B
189,4,0,7,0
121,0,9,4,9
74,2,B,5,7
10,0,9,4,9
131,4,0,4,7
113,2,B,7,7
27,0,4,0,9
226,7,2,7,B
70,2,0,9,5
117,2,B,7,7
67,4,0,7,4
33,0,9,5,4
146,5,B,7,7
143,7,0,7,5
79,0,7,4,0
118,2,B,7,7
17,4,7,0,0
140,B,7,2,7
54,7,7,2,B
2,0,7,4,0
51,4,0,7,0
8,0,9,5,9
27,0,4,0,9
81,0,7,4,0
115,2,B,7,7
28,2,B,7,7
76,0,7,4,0
186,4,0,7,4
64,4,0,7,4
28,0,9,5,5
56,7,9,4,0
115,2,B,7,7
116,2,B,7,7
24,0,4,0,9
80,0,7,4,0
208,2,B,7,7
53,7,7,2,B
46,2,B,7,7
111,4,0,7,0
113,2,B,7,7
138,7,2,7,4
150,4,0,7,2
201,0,9,5,5
165,0,9,5,5
222,7,2,7,0
63,5,B,5,2
112,2,B,7,7
133,5,2,9,5
168,4,0,7,0
90,4,B,7,0
52,7,7,2,B
45,2,B,7,7
142,7,0,7,5
18,4,7,0,0
224,7,2,7,B
102,7,2,5,4
182,5,B,5,2
99,7,0,2,4
126,4,9,0,9
199,0,9,4,7
71,0,7,2,4
116,2,B,7,7
73,2,B,7,7
73,2,B,7,7
46,2,B,7,7
24,0,4,0,9
69,2,0,9,5
140,7,0,7,4
33,0,9,5,4
235,4,0,9,7
40,2,B,7,7
6,0,7,4,0
32,0,9,5,4
130,4,0,4,7
233,4,0,9,9
24,0,4,0,9
106,5,B,7,2
82,0,7,4,0
139,7,2,7,4
188,4,0,7,0
208,2,B,7,7
126,4,9,0,9
103,7,2,5,4
67,4,0,7,4
33,0,9,5,4
194,2,B,5,7
94,5,B,5,2
17,4,7,0,0
5,0,7,4,0
212,2,B,7,7
5,0,7,4,0
113,2,B,7,7
181,5,B,5,2
109,4,0,7,0
128,4,B,4,7
80,0,7,4,0
54,7,7,2,B
41,2,B,7,7
55,7,7,2,B
101,7,0,4,4
64,4,0,7,4
145,5,0,7,7
96,7,0,4,4
183,5,B,5,2
110,4,0,7,0
182,5,B,5,2
0,0,7,4,0
45,2,B,7,7
62,5,B,5,2
16,4,7,0,0
129,4,B,4,7
170,4,0,7,0
42,2,B,7,7
175,7,2,5,B
64,4,0,7,4
5,0,7,4,0
206,4,0,7,0
100,2,B,6,2
223,7,2,7,0
29,0,9,5,5
117,2,B,7,7
44,2,B,7,7
149,4,0,7,0
128,4,B,4,7
227,4,B,7,B
50,4,0,7,0
92,5,9,5,2
150,2,5,B,7
153,4,0,7,4
169,4,0,7,0
6,0,7,4,0
79,0,7,4,0
78,0,7,4,0
199,0,9,4,7
170,2,7,2,A
187,4,0,7,4
46,2,B,7,7
79,0,7,4,0
93,5,9,5,2
144,5,0,7,7
8,4,0,7,A
54,7,7,2,B
132,5,2,9,5
214,2,B,7,7
53,7,7,2,B
2,0,7,4,0
42,2,B,7,7
161,0,9,5,5
184,4,0,7,4
152,4,0,7,4
185,4,0,7,4
146,5,B,7,7
225,7,2,7,B
243,2,B,5,7
89,4,0,7,0
203,2,B,5,4
44,2,B,7,7
7,0,7,4,0
40,2,B,7,7
120,0,9,4,9
90,4,B,7,0
153,4,0,7,4
158,4,A,7,0
156,4,A,7,0
211,2,B,7,7
74,2,B,5,7
87,4,0,7,0
81,0,7,4,0
142,7,0,7,5
140,7,0,7,4
165,0,9,5,5
176,7,2,4,0
182,5,B,5,2
197,0,B,4,9
174,1,9,4,9
130,4,0,4,7
71,2,0,9,5
220,7,2,7,0
122,0,9,4,9
53,7,7,2,B
223,7,2,7,0
98,7,0,2,4
56,7,9,4,0
5,0,7,4,0
89,7,2,B,7
177,7,2,4,0
152,4,0,7,4
149,4,0,7,0
86,4,0,7,0
223,7,2,7,0
25,0,4,0,9
89,4,0,7,0
32,0,9,5,4
