,Soprano,Alto,Tenor,Bass
0,3,0,7,0
1,3,0,7,0
2,3,0,7,0
3,3,0,7,0
4,2,B,5,2
5,2,B,5,2
6,2,B,5,2
7,2,B,5,2
8,0,0,7,3
9,0,0,7,3
10,0,0,7,3
11,0,0,7,3
12,7,B,5,2
13,7,B,5,2
14,7,0,3,0
15,7,0,3,0
16,7,2,2,B
17,7,2,2,B
18,5,2,2,B
19,5,2,2,B
20,3,7,3,0
21,3,7,3,0
22,3,9,5,0
23,3,9,5,0
24,2,B,7,7
25,2,B,7,7
26,2,B,7,7
27,2,B,7,7
28,5,B,8,2
29,5,B,8,2
30,5,B,8,2
31,5,B,8,2
32,3,0,7,3
33,3,0,7,3
34,3,0,7,5
35,3,0,7,5
36,2,B,7,7
37,2,B,7,7
38,2,B,5,7
39,2,B,5,7
40,0,0,3,8
41,0,0,3,8
42,0,A,3,8
43,0,A,3,8
44,2,8,5,7
45,2,8,5,7
46,3,8,5,5
47,5,8,5,5
48,3,7,B,7
49,3,7,B,7
50,3,7,0,7
51,3,7,0,7
52,2,7,0,7
53,2,7,0,7
54,2,7,B,7
55,2,7,B,7
56,0,7,3,0
57,0,7,3,0
58,0,7,3,0
59,0,7,3,0
60,2,B,7,7
61,2,B,7,7
62,2,B,7,7
63,2,B,7,7
64,3,0,7,0
65,3,0,7,0
66,3,0,7,0
67,3,0,7,0
68,2,B,5,2
69,2,B,5,2
70,2,B,5,2
71,2,B,5,2
72,0,0,7,3
73,0,0,7,3
74,0,0,7,3
75,0,0,7,3
76,7,B,5,2
77,7,B,5,2
78,7,0,3,0
79,7,0,3,0
80,7,2,2,B
81,7,2,2,B
82,5,2,2,B
83,5,2,2,B
84,3,7,3,0
85,3,7,3,0
86,3,9,5,0
87,3,9,5,0
88,2,B,7,7
89,2,B,7,7
90,2,B,7,7
91,2,B,7,7
92,5,B,8,2
93,5,B,8,2
94,5,B,8,2
95,5,B,8,2
96,3,0,7,3
97,3,0,7,3
98,3,0,7,5
99,3,0,7,5
100,2,B,7,7
101,2,B,7,7
102,2,B,5,7
103,2,B,5,7
104,0,0,3,8
105,0,0,3,8
106,0,A,3,8
107,0,A,3,8
108,2,8,5,7
109,2,8,5,7
110,3,8,5,5
111,5,8,5,5
112,3,7,B,7
113,3,7,B,7
114,3,7,0,7
115,3,7,0,7
116,2,7,0,7
117,2,7,0,7
118,2,7,B,7
119,2,7,B,7
120,0,7,3,0
121,0,7,3,0
122,0,7,3,0
123,0,7,3,0
124,0,5,0,9
125,0,5,0,9
126,0,5,0,9
127,0,5,0,9
128,2,5,A,A
129,2,5,A,A
130,0,6,0,9
131,0,6,0,9
132,A,7,2,7
133,A,7,2,7
134,A,7,2,7
135,A,7,2,7
136,9,6,2,2
137,9,6,2,2
138,9,6,2,0
139,9,6,2,0
140,7,7,2,A
141,7,7,2,A
142,9,6,0,9
143,9,6,0,9
144,A,7,2,7
145,A,7,2,7
146,A,A,2,5
147,A,A,2,5
148,0,9,3,3
149,0,9,3,3
150,0,7,3,3
151,0,7,3,3
152,2,6,9,2
153,2,6,9,2
154,2,6,9,2
155,2,6,9,2
156,A,2,7,7
157,A,2,7,7
158,A,2,5,7
159,A,2,5,7
160,0,0,3,8
161,0,0,3,8
162,2,0,5,8
163,2,0,5,8
164,3,0,7,3
165,3,0,7,3
166,3,0,7,5
167,3,0,7,5
168,2,B,7,7
169,2,B,7,7
170,2,B,7,7
171,2,B,7,7
172,3,0,7,0
173,3,0,7,0
174,2,0,5,2
175,2,0,5,2
176,0,7,3,3
177,0,7,3,3
178,0,7,3,5
179,0,7,3,5
180,B,7,2,7
181,B,7,2,7
182,B,7,2,7
183,B,7,2,7
184,0,7,3,0
185,0,7,3,0
186,0,7,3,0
187,0,7,3,0
188,0,7,3,0
189,0,7,3,0
190,0,7,3,0
191,0,7,3,0
192,7,7,2,B
193,7,7,2,B
194,7,7,2,B
195,7,7,2,B
196,3,7,0,0
197,3,7,0,0
198,3,7,0,A
199,3,7,0,A
200,5,8,0,8
201,5,8,0,8
202,5,8,0,7
203,5,8,0,7
204,7,A,1,5
205,7,A,1,5
206,7,A,1,4
207,7,A,1,4
208,5,9,0,5
209,5,9,0,5
210,5,B,7,5
211,5,B,7,5
212,3,0,9,6
213,3,0,9,6
214,3,0,9,6
215,3,0,9,6
216,2,7,B,7
217,2,7,B,7
218,2,7,B,7
219,2,7,B,7
0,3,0,7,0
1,3,0,7,0
2,3,0,7,0
3,3,0,7,0
4,2,B,5,2
5,2,B,5,2
6,2,B,5,2
7,2,B,5,2
8,0,0,7,3
9,0,0,7,3
10,0,0,7,3
11,0,0,7,3
12,7,B,5,2
13,7,B,5,2
14,7,0,3,0
15,7,0,3,0
16,7,2,2,B
17,7,2,2,B
