,Soprano,Alto,Tenor,Bass
33,3,0,7,3
3,3,0,7,0
148,0,9,3,3
26,2,B,7,7
103,2,B,5,7
187,0,7,3,0
65,3,0,7,0
27,2,B,7,7
62,2,B,7,7
28,5,B,8,2
103,2,B,5,7
143,9,6,0,9
86,3,9,5,0
23,3,9,5,0
183,B,7,2,7
119,2,7,B,7
57,0,7,3,0
31,5,B,8,2
143,9,6,0,9
201,5,8,0,8
84,3,7,3,0
133,A,7,2,7
107,0,A,3,8
115,3,7,0,7
143,9,6,0,9
136,9,6,2,2
80,7,2,2,B
1,3,0,7,0
195,7,7,2,B
37,2,B,7,7
103,2,B,5,7
164,3,0,7,3
180,B,7,2,7
114,3,7,0,7
99,3,0,7,5
13,7,B,5,2
91,2,B,7,7
100,2,B,7,7
99,3,0,7,5
48,3,7,B,7
48,3,7,B,7
208,5,9,0,5
114,3,7,0,7
165,3,0,7,3
29,5,B,8,2
97,3,0,7,3
90,2,B,7,7
55,2,7,B,7
63,2,B,7,7
173,3,0,7,0
144,A,7,2,7
125,0,5,0,9
51,3,7,0,7
205,7,A,1,5
103,2,B,5,7
165,3,0,7,3
119,2,7,B,7
141,7,7,2,A
165,3,0,7,3
77,7,B,5,2
150,0,7,3,3
117,2,7,0,7
92,5,B,8,2
20,3,7,3,0
31,5,B,8,2
114,3,7,0,7
8,0,0,7,3
208,5,9,0,5
30,5,B,8,2
203,5,8,0,7
184,0,7,3,0
178,0,7,3,5
209,5,9,0,5
207,7,A,1,4
39,2,B,5,7
46,3,8,5,5
218,2,7,B,7
56,3,A,7,3
22,3,9,5,0
211,5,B,7,5
25,2,B,7,7
136,9,6,2,2
55,2,7,B,7
68,2,B,5,2
64,3,0,7,0
185,0,7,3,0
208,5,9,0,5
5,2,B,5,2
155,2,6,9,2
100,2,B,7,7
92,5,B,8,2
177,0,7,3,3
105,0,0,3,8
162,2,0,5,8
94,5,B,8,2
99,3,0,7,5
37,2,B,7,7
133,A,7,2,7
42,0,A,3,8
59,0,7,3,0
40,0,0,3,8
25,2,B,7,7
23,3,9,5,0
102,2,B,5,7
53,2,7,0,7
102,2,B,5,7
4,2,B,5,2
113,3,7,B,7
49,3,7,B,7
62,2,B,7,7
54,2,7,B,7
156,A,2,7,7
32,3,0,7,3
29,5,B,8,2
170,2,B,7,7
114,3,7,0,7
117,2,7,0,7
78,7,0,3,0
144,A,7,2,7
209,5,9,0,5
56,0,7,3,0
202,5,8,0,7
11,0,0,7,3
98,3,0,7,5
76,7,B,5,2
14,7,0,3,0
98,3,0,7,5
71,2,B,5,2
70,2,B,5,2
109,2,8,5,7
123,0,7,3,0
105,0,0,3,8
27,2,B,7,7
63,2,B,7,7
46,3,8,5,5
28,5,B,8,2
24,2,B,7,7
121,0,7,3,0
180,B,7,2,7
108,2,8,5,7
151,0,7,3,3
49,3,7,B,7
59,0,7,3,0
5,2,B,5,2
136,9,6,2,2
164,3,0,7,3
105,0,0,3,8
121,0,7,3,0
14,7,0,3,0
126,0,5,0,9
31,5,B,8,2
58,0,7,3,0
149,0,9,3,3
19,5,2,2,B
28,5,B,8,2
82,5,2,2,B
28,5,B,8,2
0,3,0,7,0
3,3,0,7,0
35,3,0,7,5
7,2,B,5,2
182,B,7,2,7
126,0,5,0,9
56,0,7,3,0
17,7,2,2,B
17,7,2,2,B
41,0,0,3,8
66,3,0,7,0
37,2,B,7,7
149,0,9,3,3
37,2,B,7,7
64,3,0,7,0
16,2,0,8,5
96,3,0,7,3
74,0,0,7,3
161,0,0,3,8
75,0,0,7,3
142,9,6,0,9
135,A,7,2,7
61,2,B,7,7
121,0,7,3,0
74,0,0,7,3
153,2,6,9,2
8,0,0,7,3
134,A,7,2,7
189,0,7,3,0
101,2,B,7,7
44,2,8,5,7
12,7,B,5,2
153,2,6,9,2
96,3,0,7,3
1,3,0,7,0
105,0,0,3,8
35,3,0,7,5
154,2,6,9,2
134,A,7,2,7
41,0,0,3,8
213,3,0,9,6
201,5,8,0,8
56,0,7,3,0
190,0,7,3,0
116,2,7,0,7
108,2,8,5,7
60,2,B,7,7
180,B,7,2,7
41,0,0,3,8
210,5,B,7,5
31,5,B,8,2
176,0,7,3,3
147,A,A,2,5
53,2,7,0,7
191,0,7,3,0
161,0,0,3,8
133,A,7,2,7
185,0,7,3,0
2,3,0,7,0
71,2,B,5,2
7,2,B,5,2
150,0,7,3,3
115,3,7,0,7
92,5,B,8,2
207,7,A,1,4
73,0,0,7,3
100,2,B,7,7
13,7,B,5,2
183,B,7,2,7
125,0,5,0,9
188,0,7,3,0
64,3,0,7,0
13,7,B,5,2
146,A,A,2,5
70,2,B,5,2
54,2,7,B,7
195,7,7,2,B
