,Soprano,Alto,Tenor,Bass
0,7,4,0,0
1,7,4,0,0
2,7,4,0,0
3,7,4,0,0
4,7,4,0,0
5,7,4,0,0
6,7,4,0,0
7,7,4,0,0
8,7,4,0,0
9,7,4,0,0
10,7,4,0,0
11,7,4,0,0
12,7,4,0,0
13,7,4,0,0
14,7,4,0,0
15,7,4,0,0
16,7,4,0,0
17,7,4,0,0
18,7,4,0,0
19,7,4,0,0
20,7,4,0,0
21,7,4,0,0
22,7,4,0,0
23,7,4,0,0
24,5,2,2,2
25,5,2,2,2
26,5,2,2,2
27,5,2,2,2
28,5,2,2,2
29,5,2,2,2
30,5,2,2,2
31,5,2,2,2
32,5,2,2,2
33,5,2,2,2
34,5,2,2,2
35,5,2,2,2
36,5,2,2,2
37,5,2,2,2
38,5,2,2,2
39,5,2,2,2
40,5,2,2,2
41,5,2,2,2
42,5,2,2,2
43,5,2,2,2
44,5,2,2,2
45,5,2,2,2
46,5,2,2,2
47,5,2,2,2
48,4,0,4,4
49,4,0,4,4
50,4,0,4,4
51,4,0,4,4
52,4,0,4,4
53,4,0,4,4
54,4,0,4,4
55,4,0,4,4
56,4,0,4,4
57,4,0,4,4
58,4,0,4,4
59,4,0,4,4
60,4,0,5,4
61,4,0,5,4
62,4,0,5,4
63,4,0,5,4
64,4,0,5,4
65,4,0,5,4
66,4,0,5,4
67,4,0,5,4
68,4,0,5,4
69,4,0,5,4
70,4,0,5,4
71,4,0,5,4
72,4,0,7,4
73,4,0,7,4
74,4,0,7,4
75,4,0,7,4
76,4,0,7,4
77,4,0,7,4
78,4,0,7,4
79,4,0,7,4
80,4,0,7,4
81,4,0,7,4
82,4,0,7,4
83,4,0,7,4
84,7,7,4,4
85,7,7,4,4
86,7,7,4,4
87,7,7,4,4
88,7,7,4,4
89,7,7,4,4
90,7,7,4,4
91,7,7,4,4
92,7,7,4,4
93,7,7,4,4
94,7,7,4,4
95,7,7,4,4
96,5,9,5,5
97,5,9,5,5
98,5,9,5,5
99,5,9,5,5
100,5,9,5,5
101,5,9,5,5
102,5,B,5,5
103,5,B,5,5
104,5,B,5,5
105,5,B,5,5
106,5,B,5,5
107,5,B,5,5
108,4,0,0,0
109,4,0,0,0
110,4,0,0,0
111,4,0,0,0
112,4,0,0,0
113,4,0,0,0
114,4,0,0,0
115,4,0,0,0
116,4,0,0,0
117,4,0,0,0
118,4,0,0,0
119,4,0,0,0
120,2,0,7,7
121,2,0,7,7
122,2,0,7,7
123,2,0,7,7
124,2,0,7,7
125,2,0,7,7
126,2,0,7,7
127,2,0,7,7
128,2,0,7,7
129,2,0,7,7
130,2,0,7,7
131,2,0,7,7
132,2,0,7,7
133,2,0,7,7
134,2,0,7,7
135,2,0,7,7
136,2,0,7,7
137,2,0,7,7
138,2,B,7,7
139,2,B,7,7
140,2,B,7,7
141,2,B,7,7
142,2,B,7,7
143,2,B,7,7
144,0,0,0,0
145,0,0,0,0
146,0,0,0,0
147,0,0,0,0
148,0,0,0,0
149,0,0,0,0
150,0,0,0,0
151,0,0,0,0
152,0,0,0,0
153,0,0,0,0
154,0,0,0,0
155,0,0,0,0
156,0,0,0,0
157,0,0,0,0
158,0,0,0,0
159,0,0,0,0
160,0,0,0,0
161,0,0,0,0
162,0,0,0,0
163,0,0,0,0
164,0,0,0,0
165,0,0,0,0
166,0,0,0,0
167,0,0,0,0
168,0,0,0,0
169,0,0,0,0
170,0,0,0,0
171,0,0,0,0
172,0,0,0,0
173,0,0,0,0
174,0,0,0,0
175,0,0,0,0
176,0,0,0,0
177,0,0,0,0
178,0,0,0,0
179,0,0,0,0
180,0,0,0,0
181,0,0,0,0
182,0,0,0,0
183,0,0,0,0
184,0,0,0,0
185,0,0,0,0
186,0,0,0,0
187,0,0,0,0
188,0,0,0,0
189,0,0,0,0
190,0,0,0,0
191,0,0,0,0
192,4,0,0,0
193,4,0,0,0
194,4,0,0,0
195,4,0,0,0
196,4,0,0,0
197,4,0,0,0
198,4,0,0,0
199,4,0,0,0
200,4,0,0,0
201,4,0,0,0
202,4,0,0,0
203,4,0,0,0
204,4,0,2,2
205,4,0,2,2
206,4,0,2,2
207,4,0,2,2
208,4,0,2,2
209,4,0,2,2
210,4,0,2,2
211,4,0,2,2
212,4,0,2,2
213,4,0,2,2
214,4,0,2,2
215,4,0,2,2
216,4,0,4,4
217,4,0,4,4
218,4,0,4,4
219,4,0,4,4
220,4,0,4,4
221,4,0,4,4
222,4,0,4,4
223,4,0,4,4
224,4,0,4,4
225,4,0,4,4
226,4,0,4,4
227,4,0,4,4
228,4,0,6,6
229,4,0,6,6
230,4,0,6,6
231,4,0,6,6
232,4,0,6,6
233,4,0,6,6
234,4,0,6,6
235,4,0,6,6
236,4,0,6,6
237,4,0,6,6
238,4,0,6,6
239,4,0,6,6
240,2,B,7,7
241,2,B,7,7
242,2,B,7,7
243,2,B,7,7
244,2,B,7,7
245,2,B,7,7
246,2,B,7,7
247,2,B,7,7
248,2,B,7,7
249,2,B,7,7
250,2,B,7,7
251,2,B,7,7
252,4,B,7,7
253,4,B,7,7
254,4,B,7,7
255,4,B,7,7
256,4,B,7,7
257,4,B,7,7
258,2,B,7,7
259,2,B,7,7
260,2,B,7,7
261,2,B,7,7
262,2,B,7,7
263,2,B,7,7
264,4,B,7,7
265,4,B,7,7
266,4,B,7,7
267,4,B,7,7
268,4,B,7,7
269,4,B,7,7
270,4,B,7,7
271,4,B,7,7
272,4,B,7,7
273,4,B,7,7
274,4,B,7,7
275,4,B,7,7
276,4,9,5,5
277,4,9,5,5
278,4,9,5,5
279,4,9,5,5
280,4,9,5,5
281,4,9,5,5
282,4,7,4,4
283,4,7,4,4
284,4,7,4,4
285,4,7,4,4
286,4,7,4,4
287,4,7,4,4
288,4,9,5,5
289,4,9,5,5
290,4,9,5,5
291,4,9,5,5
292,4,9,5,5
293,4,9,5,5
294,4,9,5,5
295,4,9,5,5
296,4,9,5,5
297,4,9,5,5
298,4,9,5,5
299,4,9,5,5
300,2,9,5,5
301,2,9,5,5
302,2,9,5,5
303,2,9,5,5
304,2,9,5,5
305,2,9,5,5
306,0,9,5,5
307,0,9,5,5
308,0,9,5,5
309,0,9,5,5
310,0,9,5,5
311,0,9,5,5
312,2,9,5,5
313,2,9,5,5
314,2,9,5,5
315,2,9,5,5
316,2,9,5,5
317,2,9,5,5
318,2,9,5,5
319,2,9,5,5
320,2,9,5,5
321,2,9,5,5
322,2,9,5,5
323,2,9,5,5
324,2,7,4,4
325,2,7,4,4
326,2,7,4,4
327,2,7,4,4
328,2,7,4,4
329,2,7,4,4
330,2,6,2,2
331,2,6,2,2
332,2,6,2,2
333,2,6,2,2
334,2,6,2,2
335,2,6,2,2
336,2,7,4,4
337,2,7,4,4
338,2,7,4,4
339,2,7,4,4
340,2,7,4,4
341,2,7,4,4
342,2,7,4,4
343,2,7,4,4
344,2,7,4,4
345,2,7,4,4
346,2,7,4,4
347,2,7,4,4
348,0,7,4,4
349,0,7,4,4
350,0,7,4,4
351,0,7,4,4
352,0,7,4,4
353,0,7,4,4
354,B,7,4,4
355,B,7,4,4
356,B,7,4,4
357,B,7,4,4
358,B,7,4,4
359,B,7,4,4
360,0,7,4,4
361,0,7,4,4
362,0,7,4,4
363,0,7,4,4
364,0,7,4,4
365,0,7,4,4
366,0,7,4,4
367,0,7,4,4
368,0,7,4,4
369,0,7,4,4
370,0,7,4,4
371,0,7,4,4
372,0,6,2,2
373,0,6,2,2
374,0,6,2,2
375,0,6,2,2
376,0,6,2,2
377,0,6,2,2
378,0,4,0,0
379,0,4,0,0
380,0,4,0,0
381,0,4,0,0
382,0,4,0,0
383,0,4,0,0
384,0,6,2,2
385,0,6,2,2
386,0,6,2,2
387,0,6,2,2
388,0,6,2,2
389,0,6,2,2
390,0,6,2,2
391,0,6,2,2
392,0,6,2,2
393,0,6,2,2
394,0,6,2,2
395,0,6,2,2
396,0,2,2,2
397,0,2,2,2
398,0,2,2,2
399,0,2,2,2
400,0,2,2,2
401,0,2,2,2
402,0,2,2,2
403,0,2,2,2
404,0,2,2,2
405,0,2,2,2
406,0,2,2,2
407,0,2,2,2
408,B,7,4,4
409,B,7,4,4
410,B,7,4,4
411,B,7,4,4
412,B,7,4,4
413,B,7,4,4
414,B,7,4,4
415,B,7,4,4
416,B,7,4,4
417,B,7,4,4
418,B,7,4,4
419,B,7,4,4
420,B,7,4,4
421,B,7,4,4
422,B,7,4,4
423,B,7,4,4
424,B,7,4,4
425,B,7,4,4
426,B,7,4,4
427,B,7,4,4
428,B,7,4,4
429,B,7,4,4
430,B,7,4,4
431,B,7,4,4
432,9,7,0,0
433,9,7,0,0
434,9,7,0,0
435,9,7,0,0
436,9,7,0,0
437,9,7,0,0
438,9,7,0,0
439,9,7,0,0
440,9,7,0,0
441,9,7,0,0
442,9,7,0,0
443,9,7,0,0
444,9,7,0,0
445,9,7,0,0
446,9,7,0,0
447,9,7,0,0
448,9,7,0,0
449,9,7,0,0
450,9,7,0,0
451,9,7,0,0
452,9,7,0,0
453,9,7,0,0
454,9,7,0,0
455,9,7,0,0
456,9,6,2,2
457,9,6,2,2
458,9,6,2,2
459,9,6,2,2
460,9,6,2,2
461,9,6,2,2
462,9,6,2,2
463,9,6,2,2
464,9,6,2,2
465,9,6,2,2
466,9,6,2,2
467,9,6,2,2
468,9,6,2,2
469,9,6,2,2
470,9,6,2,2
471,9,6,2,2
472,9,6,2,2
473,9,6,2,2
474,9,6,2,2
475,9,6,2,2
476,9,6,2,2
477,9,6,2,2
478,9,6,2,2
479,9,6,2,2
480,B,7,7,7
481,B,7,7,7
482,B,7,7,7
483,B,7,7,7
484,B,7,7,7
485,B,7,7,7
486,B,7,7,7
487,B,7,7,7
488,B,7,7,7
489,B,7,7,7
490,B,7,7,7
491,B,7,7,7
492,B,7,7,7
493,B,7,7,7
494,B,7,7,7
495,B,7,7,7
496,B,7,7,7
497,B,7,7,7
498,B,7,7,7
499,B,7,7,7
500,B,7,7,7
501,B,7,7,7
502,B,7,7,7
503,B,7,7,7
504,7,7,4,4
505,7,7,4,4
506,7,7,4,4
507,7,7,4,4
508,7,7,4,4
509,7,7,4,4
510,7,7,4,4
511,7,7,4,4
512,7,7,4,4
513,7,7,4,4
514,7,7,4,4
515,7,7,4,4
516,7,7,4,4
517,7,7,4,4
518,7,7,4,4
519,7,7,4,4
520,7,7,4,4
521,7,7,4,4
522,7,7,4,4
523,7,7,4,4
524,7,7,4,4
525,7,7,4,4
526,7,7,4,4
527,7,7,4,4
528,7,9,5,5
529,7,9,5,5
530,7,9,5,5
531,7,9,5,5
532,7,9,5,5
533,7,9,5,5
534,7,9,5,5
535,7,9,5,5
536,7,9,5,5
537,7,9,5,5
538,7,9,5,5
539,7,9,5,5
540,7,9,5,5
541,7,9,5,5
542,7,9,5,5
543,7,9,5,5
544,7,9,5,5
545,7,9,5,5
546,7,9,5,5
547,7,9,5,5
548,7,9,5,5
549,7,9,5,5
550,7,9,5,5
551,7,9,5,5
552,5,9,5,5
553,5,9,5,5
554,5,9,5,5
555,5,9,5,5
556,5,9,5,5
557,5,9,5,5
558,5,9,5,5
559,5,9,5,5
560,5,9,5,5
561,5,9,5,5
