,Soprano,Alto,Tenor,Bass
22,7,4,0,0
236,7,2,s,4
1902,B,2,2,2
503,B,7,7,7
1108,9,7,2,2
917,B,2,7,7
388,0,6,2,2
645,2,0,5,5
1168,B,2,7,7
1302,0,0,0,0
1075,2,6,2,2
301,2,9,5,5
385,0,6,2,2
1819,9,9,9,9
309,9,6,s,2
107,5,B,5,5
304,2,9,5,5
788,0,9,9,9
1338,0,0,0,0
351,0,7,4,4
455,9,7,0,0
669,2,B,2,2
15,7,4,0,0
978,4,0,5,5
839,2,B,7,7
2827,7,7,7,7
1092,4,9,5,5
537,7,9,5,5
727,B,9,2,2
716,0,9,0,0
637,2,0,5,5
417,B,7,4,4
941,7,7,4,4
1010,0,0,0,0
336,2,7,4,4
162,5,9,s,2
1143,0,9,6,6
48,4,0,4,4
957,5,B,7,7
1319,0,0,0,0
155,0,0,0,0
544,7,9,5,5
490,2,7,B,B
1071,4,B,7,7
1250,0,0,0,0
1676,0,B,4,4
924,B,2,7,7
916,B,2,7,7
370,0,7,4,4
1132,2,9,6,6
63,4,0,5,4
302,9,4,s,2
864,4,9,5,5
478,9,6,2,2
295,4,9,5,5
61,4,0,5,4
182,0,0,0,0
989,2,0,7,7
451,9,7,0,0
708,0,9,0,0
1206,2,0,9,9
916,B,2,7,7
686,0,4,4,4
662,2,B,2,2
752,B,8,4,4
732,B,9,2,2
685,0,4,4,4
149,0,0,0,0
604,4,0,9,9
896,2,9,6,6
1022,2,0,0,0
196,4,0,0,0
504,7,7,4,4
989,2,0,7,7
2579,6,9,2,2
578,5,B,7,7
1259,0,0,0,0
157,0,0,0,0
649,2,B,2,2
1306,0,0,0,0
91,7,7,4,4
669,2,B,2,2
422,B,7,4,4
238,4,0,6,6
1016,0,0,0,0
957,5,B,7,7
489,B,7,7,7
1208,5,9,s,9
392,7,B,7,7
2074,4,8,4,4
589,5,B,7,7
1872,0,5,2,2
552,5,9,5,5
104,5,B,5,5
653,2,B,2,2
869,4,9,5,5
367,6,9,s,2
379,0,4,0,0
1039,0,9,7,9
441,9,7,0,0
879,2,9,5,5
1238,2,0,7,7
332,2,6,2,2
933,0,5,9,9
1874,0,5,2,2
1125,B,7,0,0
226,4,0,4,4
1323,0,0,0,0
281,4,9,5,5
310,0,9,5,5
17,0,s,s,0
113,4,5,s,0
718,5,0,0,0
529,7,9,5,5
715,0,9,0,0
982,4,0,5,5
689,0,4,4,4
49,4,0,4,4
180,0,0,0,0
82,4,0,7,4
595,5,B,7,7
743,4,0,7,7
472,9,6,2,2
1028,4,0,0,0
1144,9,6,2,2
455,9,7,0,0
756,B,8,4,4
777,9,9,9,9
397,0,2,2,2
1290,0,0,0,0
1256,0,0,0,0
134,2,0,7,7
92,7,7,4,4
1266,0,0,0,0
595,5,B,7,7
866,4,9,5,5
908,0,9,6,6
981,4,9,0,0
210,4,0,2,2
924,B,5,7,9
636,2,0,5,5
1339,0,0,0,0
429,B,7,4,4
99,4,s,s,0
776,9,9,9,9
885,0,9,5,5
1970,8,B,4,4
959,5,B,7,7
651,4,0,4,4
350,0,7,4,4
2236,0,0,s,9
59,2,s,s,0
635,2,0,5,5
142,4,B,s,0
1175,B,2,7,7
970,2,0,9,9
283,4,7,4,4
717,0,9,0,0
197,7,B,s,4
660,2,B,2,2
761,B,8,4,4
337,2,7,4,4
989,2,0,7,7
388,0,6,2,2
263,9,0,s,9
1491,5,7,0,0
846,7,2,s,B
74,4,0,7,4
66,4,0,5,4
787,0,9,9,9
326,7,B,s,4
190,0,0,0,0
188,5,0,s,2
791,0,0,0,0
243,2,B,7,7
306,9,6,s,2
1081,4,B,7,7
365,0,7,4,4
468,9,6,2,2
50,2,s,s,0
1274,0,0,0,0
1152,B,2,7,7
74,2,s,s,B
154,0,0,0,0
711,0,9,0,0
716,0,9,0,0
703,0,9,0,0
53,4,0,4,4
449,9,7,0,0
32,5,2,2,2
3194,B,2,7,7
458,9,6,2,2
1313,0,0,0,0
708,0,9,0,0
736,B,9,2,2
401,0,2,2,2
722,B,9,2,2
553,0,4,0,0
343,2,7,4,4
510,7,7,4,4
23,7,4,0,0
464,9,6,2,2
403,0,2,2,2
1332,0,0,0,0
180,0,0,0,0
1025,2,0,0,0
1250,0,0,0,0
110,4,0,0,0
937,7,7,4,4
497,4,8,4,4
300,2,9,5,5
57,4,0,4,4
453,s,7,9,9
206,7,9,s,4
772,9,9,9,9
374,6,9,s,2
57,4,0,4,4
596,5,B,7,7
397,0,2,2,2
1184,7,7,4,4
1326,0,0,0,0
158,0,0,0,0
162,0,0,0,0
678,0,B,4,4
110,4,0,0,0
1151,0,9,6,6
126,2,0,7,7
734,B,9,2,2
795,5,9,9,9
1217,5,0,5,5
186,5,0,s,2
264,4,B,7,7
173,0,0,0,0
445,s,7,9,9
831,s,2,s,0
464,9,6,2,2
75,2,s,s,B
310,0,9,5,5
586,5,2,2,2
481,s,7,B,B
709,0,9,0,0
395,0,6,2,2
795,5,9,9,9
390,0,6,2,2
841,4,B,7,7
1508,5,7,0,0
488,2,7,B,B
145,0,0,0,0
545,2,0,0,0
125,2,0,7,7
292,4,9,5,5
190,5,0,s,2
360,6,9,s,2
178,5,4,s,2
616,B,2,2,2
503,B,7,7,7
716,0,9,0,0
961,4,0,9,9
1239,2,0,7,7
119,4,0,0,0
1057,5,B,7,7
1158,B,2,7,7
1577,B,5,2,2
170,0,0,0,0
869,4,9,5,5
1138,2,9,6,6
2075,4,8,4,4
2846,7,9,2,2
436,9,7,0,0
1113,4,9,5,5
340,2,7,4,4
1100,4,7,4,4
288,4,9,5,5
735,B,9,2,2
118,4,0,0,0
937,7,7,4,4
802,5,9,9,9
2196,B,s,8,8
241,2,B,7,7
722,2,0,7,7
518,7,4,B,B
1325,0,0,0,0
74,2,s,s,B
823,5,B,7,7
671,2,B,2,2
1141,0,9,6,6
615,4,0,9,9
571,5,9,5,5
3088,B,5,9,9
646,2,0,5,5
1329,0,0,0,0
418,B,7,4,4
563,5,9,5,5
831,4,B,7,7
305,2,9,5,5
598,5,B,7,7
2828,7,7,7,7
836,s,2,s,0
750,2,0,7,7
271,4,B,7,7
1245,2,B,7,7
219,7,7,s,4
970,2,7,B,B
1163,7,B,7,7
789,0,9,9,9
959,5,B,7,7
2918,4,0,0,0
448,9,7,0,0
995,2,0,7,7
718,0,9,0,0
29,5,2,2,2
230,4,0,6,6
1174,B,2,7,7
513,7,7,4,4
504,7,7,4,4
110,4,0,0,0
332,7,0,s,4
1291,0,0,0,0
85,7,7,4,4
1028,4,0,0,0
589,5,B,7,7
381,0,4,0,0
755,B,8,4,4
1011,s,9,0,0
559,5,9,5,5
561,5,9,5,5
378,6,9,s,2
71,2,s,s,0
593,5,B,7,7
1506,5,7,0,0
1229,2,0,7,7
187,0,0,0,0
72,7,4,0,0
1841,9,7,4,4
236,4,0,6,6
116,4,7,s,0
1162,2,4,7,7
617,4,0,9,9
373,0,6,2,2
1247,2,B,7,7
195,7,B,s,4
694,0,4,4,4
37,5,2,2,2
1323,0,0,0,0
842,4,B,7,7
357,B,7,4,4
998,2,0,7,7
7,7,4,0,0
461,9,6,2,2
1163,B,2,7,7
171,0,0,0,0
1012,0,0,0,0
206,4,0,2,2
90,7,7,4,4
31,0,s,s,0
101,4,s,s,0
942,7,7,4,4
2699,9,0,5,5
200,4,0,0,0
828,9,B,4,4
431,s,7,7,7
244,2,B,7,7
737,B,9,2,2
560,5,9,5,5
920,B,2,7,7
231,4,0,6,6
751,B,8,4,4
616,4,0,9,9
1265,0,0,0,0
205,4,0,2,2
33,5,2,2,2
2387,B,7,2,2
921,B,2,7,7
742,B,9,2,2
355,B,7,4,4
1982,4,B,4,4
363,0,7,4,4
705,0,9,0,0
1306,0,0,0,0
857,4,9,5,5
755,B,8,4,4
1036,0,9,9,9
351,0,7,4,4
936,7,7,4,4
667,2,B,2,2
981,4,0,5,5
297,4,9,5,5
473,s,6,9,9
93,7,7,4,4
720,B,9,2,2
644,2,0,5,5
1222,4,0,5,5
1334,0,0,0,0
3328,0,2,9,9
1335,0,0,0,0
1328,0,0,0,0
2212,0,s,9,9
793,5,9,9,9
166,0,0,0,0
369,0,7,4,4
401,0,2,2,2
75,4,0,7,4
277,4,9,5,5
466,9,6,2,2
8,0,s,s,0
1105,4,9,5,5
2894,5,B,7,7
634,B,7,4,4
918,B,2,7,7
619,4,0,9,9
272,4,B,7,7
1291,0,0,0,0
418,B,7,4,4
879,2,9,5,5
703,0,9,0,0
311,0,9,5,5
198,4,0,0,0
928,B,2,7,7
98,4,s,s,0
1123,0,9,5,5
411,B,7,4,4
102,4,7,s,0
259,9,0,s,9
1177,7,7,4,4
103,5,B,5,5
195,4,0,0,0
279,4,9,5,5
978,4,0,5,5
167,0,0,0,0
