,Soprano,Alto,Tenor,Bass
0,7,3,0,0
1,7,3,0,0
2,7,3,0,0
3,7,3,0,0
4,7,3,0,0
5,7,3,0,0
6,7,3,0,0
7,7,3,0,0
8,7,3,0,0
9,7,3,0,0
10,7,3,0,0
11,7,3,0,0
12,7,3,0,0
13,7,3,0,0
14,7,3,0,0
15,7,3,0,0
16,7,3,0,0
17,7,3,0,0
18,7,3,0,0
19,7,3,0,0
20,7,3,0,0
21,7,3,0,0
22,7,3,0,0
23,7,3,0,0
24,8,5,0,0
25,8,5,0,0
26,8,5,0,0
27,8,5,0,0
28,8,5,0,0
29,8,5,0,0
30,8,5,0,0
31,8,5,0,0
32,8,5,0,0
33,8,5,0,0
34,8,5,0,0
35,8,5,0,0
36,7,3,0,0
37,7,3,0,0
38,7,3,0,0
39,7,3,0,0
40,7,3,0,0
41,7,3,0,0
42,7,3,0,0
43,7,3,0,0
44,7,3,0,0
45,7,3,0,0
46,7,3,0,0
47,7,3,0,0
48,5,2,0,0
49,5,2,0,0
50,5,2,0,0
51,5,2,0,0
52,5,2,0,0
53,5,2,0,0
54,5,2,0,0
55,5,2,0,0
56,5,2,0,0
57,5,2,0,0
58,5,2,0,0
59,5,2,0,0
60,5,2,0,0
61,5,2,0,0
62,5,2,0,0
63,5,2,0,0
64,5,2,0,0
65,5,2,0,0
66,5,2,0,0
67,5,2,0,0
68,5,2,0,0
69,5,2,0,0
70,5,2,0,0
71,5,2,0,0
72,7,2,B,B
73,7,2,B,B
74,7,2,B,B
75,7,2,B,B
76,7,2,B,B
77,7,2,B,B
78,7,2,B,B
79,7,2,B,B
80,7,2,B,B
81,7,2,B,B
82,7,2,B,B
83,7,2,B,B
84,5,2,B,B
85,5,2,B,B
86,5,2,B,B
87,5,2,B,B
88,5,2,B,B
89,5,2,B,B
90,5,2,B,B
91,5,2,B,B
92,5,2,B,B
93,5,2,B,B
94,5,2,B,B
95,5,2,B,B
96,3,7,0,0
97,3,7,0,0
98,3,7,0,0
99,3,7,0,0
100,3,7,0,0
101,3,7,0,0
102,3,7,0,0
103,3,7,0,0
104,3,7,0,0
105,3,7,0,0
106,3,7,0,0
107,3,7,0,0
108,3,7,0,0
109,3,7,0,0
110,3,7,0,0
111,3,7,0,0
112,3,7,0,0
113,3,7,0,0
114,3,7,0,0
115,3,7,0,0
116,3,7,0,0
117,3,7,0,0
118,3,7,0,0
119,3,7,0,0
120,4,7,0,0
121,4,7,0,0
122,4,7,0,0
123,4,7,0,0
124,4,7,0,0
125,4,7,0,0
126,4,7,0,0
127,4,7,0,0
128,4,7,0,0
129,4,7,0,0
130,4,7,0,0
131,4,7,0,0
132,4,7,A,A
133,4,7,A,A
134,4,7,A,A
135,4,7,A,A
136,4,7,A,A
137,4,7,A,A
138,4,7,A,A
139,4,7,A,A
140,4,7,A,A
141,4,7,A,A
142,4,7,A,A
143,4,7,A,A
144,5,0,8,8
145,5,0,8,8
146,5,0,8,8
147,5,0,8,8
148,5,0,8,8
149,5,0,8,8
150,5,0,8,8
151,5,0,8,8
152,5,0,8,8
153,5,0,8,8
154,5,0,8,8
155,5,0,8,8
156,5,0,8,8
157,5,0,8,8
158,5,0,8,8
159,5,0,8,8
160,5,0,8,8
161,5,0,8,8
162,5,0,8,8
163,5,0,8,8
164,5,0,8,8
165,5,0,8,8
166,5,0,8,8
167,5,0,8,8
168,7,0,4,4
169,7,0,4,4
170,7,0,4,4
171,7,0,4,4
172,7,0,4,4
173,7,0,4,4
174,7,0,4,4
175,7,0,4,4
176,7,0,4,4
177,7,0,4,4
178,7,0,4,4
179,7,0,4,4
180,7,0,4,4
181,7,0,4,4
182,7,0,4,4
183,7,0,4,4
184,7,0,4,4
185,7,0,4,4
186,7,0,4,4
187,7,0,4,4
188,7,0,4,4
189,7,0,4,4
190,7,0,4,4
191,7,0,4,4
192,8,0,5,5
193,8,0,5,5
194,8,0,5,5
195,8,0,5,5
196,8,0,5,5
197,8,0,5,5
198,8,0,5,5
199,8,0,5,5
200,8,0,5,5
201,8,0,5,5
202,8,0,5,5
203,8,0,5,5
204,8,0,5,5
205,8,0,5,5
206,8,0,5,5
207,8,0,5,5
208,8,0,5,5
209,8,0,5,5
210,8,0,5,5
211,8,0,5,5
212,8,0,5,5
213,8,0,5,5
214,8,0,5,5
215,8,0,5,5
216,7,B,7,7
217,7,B,7,7
218,7,B,7,7
219,7,B,7,7
220,7,B,7,7
221,7,B,7,7
222,7,B,7,7
223,7,B,7,7
224,7,B,7,7
225,7,B,7,7
226,7,B,7,7
227,7,B,7,7
228,7,B,7,7
229,7,B,7,7
230,7,B,7,7
231,7,B,7,7
232,7,B,7,7
233,7,B,7,7
234,7,B,7,7
235,7,B,7,7
236,7,B,7,7
237,7,B,7,7
238,7,B,7,7
239,7,B,7,7
240,7,0,8,8
241,7,0,8,8
242,7,0,8,8
243,7,0,8,8
244,7,0,8,8
245,7,0,8,8
246,7,0,8,8
247,7,0,8,8
248,7,0,8,8
249,7,0,8,8
250,7,0,8,8
251,7,0,8,8
252,7,0,8,8
253,7,0,8,8
254,7,0,8,8
255,7,0,8,8
256,7,0,8,8
257,7,0,8,8
258,7,0,8,8
259,7,0,8,8
260,7,0,8,8
261,7,0,8,8
262,7,0,8,8
263,7,0,8,8
264,5,0,8,8
265,5,0,8,8
266,5,0,8,8
267,5,0,8,8
268,5,0,8,8
269,5,0,8,8
270,5,0,8,8
271,5,0,8,8
272,5,0,8,8
273,5,0,8,8
274,5,0,8,8
275,5,0,8,8
276,5,0,8,8
277,5,0,8,8
278,5,0,8,8
279,5,0,8,8
280,5,0,8,8
281,5,0,8,8
282,5,0,8,8
283,5,0,8,8
284,5,0,8,8
285,5,0,8,8
286,5,0,8,8
287,5,0,8,8
288,7,B,7,7
289,7,B,7,7
290,7,B,7,7
291,7,B,7,7
292,7,B,7,7
293,7,B,7,7
294,7,B,7,7
295,7,B,7,7
296,7,B,7,7
297,7,B,7,7
298,7,B,7,7
299,7,B,7,7
300,7,B,7,7
301,7,B,7,7
302,7,B,7,7
303,7,B,7,7
304,7,B,7,7
305,7,B,7,7
306,7,B,7,7
307,7,B,7,7
308,7,B,7,7
309,7,B,7,7
310,7,B,7,7
311,7,B,7,7
312,7,B,7,7
313,7,B,7,7
314,7,B,7,7
315,7,B,7,7
316,7,B,7,7
317,7,B,7,7
318,7,B,7,7
319,7,B,7,7
320,7,B,7,7
321,7,B,7,7
322,7,B,7,7
323,7,B,7,7
324,7,B,7,7
325,7,B,7,7
326,7,B,7,7
327,7,B,7,7
328,7,B,7,7
329,7,B,7,7
330,7,B,7,7
331,7,B,7,7
332,7,B,7,7
333,7,B,7,7
334,7,B,7,7
335,7,B,7,7
336,s,s,s,s
337,s,s,s,s
338,s,s,s,s
339,s,s,s,s
340,s,s,s,s
341,s,s,s,s
342,s,s,s,s
343,s,s,s,s
344,s,s,s,s
345,s,s,s,s
346,s,s,s,s
347,s,s,s,s
348,s,s,s,s
349,s,s,s,s
350,s,s,s,s
351,s,s,s,s
352,s,s,s,s
353,s,s,s,s
354,s,s,s,s
355,s,s,s,s
356,s,s,s,s
357,s,s,s,s
358,s,s,s,s
359,s,s,s,s
360,s,s,s,s
361,s,s,s,s
362,s,s,s,s
363,s,s,s,s
364,s,s,s,s
365,s,s,s,s
366,s,s,s,s
367,s,s,s,s
368,s,s,s,s
369,s,s,s,s
370,s,s,s,s
371,s,s,s,s
372,s,s,s,s
373,s,s,s,s
374,s,s,s,s
375,s,s,s,s
376,s,s,s,s
377,s,s,s,s
378,s,s,s,s
379,s,s,s,s
380,s,s,s,s
381,s,s,s,s
382,s,s,s,s
383,s,s,s,s
384,2,A,7,7
385,2,A,7,7
386,2,A,7,7
387,2,A,7,7
388,2,A,7,7
389,2,A,7,7
390,2,A,7,7
391,2,A,7,7
392,2,A,7,7
393,2,A,7,7
394,2,A,7,7
395,2,A,7,7
396,2,A,7,7
397,2,A,7,7
398,2,A,7,7
399,2,A,7,7
400,2,A,7,7
401,2,A,7,7
402,2,A,7,7
403,2,A,7,7
404,2,A,7,7
405,2,A,7,7
406,2,A,7,7
407,2,A,7,7
408,3,0,7,7
409,3,0,7,7
410,3,0,7,7
411,3,0,7,7
412,3,0,7,7
413,3,0,7,7
414,3,0,7,7
415,3,0,7,7
416,3,0,7,7
417,3,0,7,7
418,3,0,7,7
419,3,0,7,7
420,2,A,7,7
421,2,A,7,7
422,2,A,7,7
423,2,A,7,7
424,2,A,7,7
425,2,A,7,7
426,2,A,7,7
427,2,A,7,7
428,2,A,7,7
429,2,A,7,7
430,2,A,7,7
431,2,A,7,7
432,0,9,7,7
433,0,9,7,7
434,0,9,7,7
435,0,9,7,7
436,0,9,7,7
437,0,9,7,7
438,0,9,7,7
439,0,9,7,7
440,0,9,7,7
441,0,9,7,7
442,0,9,7,7
443,0,9,7,7
444,0,9,7,7
445,0,9,7,7
446,0,9,7,7
447,0,9,7,7
448,0,9,7,7
449,0,9,7,7
450,0,9,7,7
451,0,9,7,7
452,0,9,7,7
453,0,9,7,7
454,0,9,7,7
455,0,9,7,7
456,2,9,6,6
457,2,9,6,6
458,2,9,6,6
459,2,9,6,6
460,2,9,6,6
461,2,9,6,6
462,2,9,6,6
463,2,9,6,6
464,2,9,6,6
465,2,9,6,6
466,2,9,6,6
467,2,9,6,6
468,0,9,6,6
469,0,9,6,6
470,0,9,6,6
471,0,9,6,6
472,0,9,6,6
473,0,9,6,6
474,0,9,6,6
475,0,9,6,6
476,0,9,6,6
477,0,9,6,6
478,0,9,6,6
479,0,9,6,6
480,A,2,7,7
481,A,2,7,7
482,A,2,7,7
483,A,2,7,7
484,A,2,7,7
485,A,2,7,7
486,A,2,7,7
487,A,2,7,7
488,A,2,7,7
489,A,2,7,7
490,A,2,7,7
491,A,2,7,7
492,A,2,7,7
493,A,2,7,7
494,A,2,7,7
495,A,2,7,7
496,A,2,7,7
497,A,2,7,7
498,A,2,7,7
499,A,2,7,7
500,A,2,7,7
501,A,2,7,7
502,A,2,7,7
503,A,2,7,7
504,B,2,7,7
505,B,2,7,7
506,B,2,7,7
507,B,2,7,7
508,B,2,7,7
509,B,2,7,7
510,B,2,7,7
511,B,2,7,7
512,B,2,7,7
513,B,2,7,7
514,B,2,7,7
515,B,2,7,7
516,B,2,5,5
517,B,2,5,5
518,B,2,5,5
519,B,2,5,5
520,B,2,5,5
521,B,2,5,5
522,B,2,5,5
523,B,2,5,5
524,B,2,5,5
525,B,2,5,5
526,B,2,5,5
527,B,2,5,5
528,0,7,3,3
529,0,7,3,3
530,0,7,3,3
531,0,7,3,3
532,0,7,3,3
533,0,7,3,3
534,0,7,3,3
535,0,7,3,3
536,0,7,3,3
537,0,7,3,3
538,0,7,3,3
539,0,7,3,3
540,0,7,3,3
541,0,7,3,3
542,0,7,3,3
543,0,7,3,3
544,0,7,3,3
545,0,7,3,3
546,0,7,3,3
547,0,7,3,3
548,0,7,3,3
549,0,7,3,3
550,0,7,3,3
551,0,7,3,3
552,2,7,B,B
553,2,7,B,B
554,2,7,B,B
555,2,7,B,B
556,2,7,B,B
557,2,7,B,B
558,2,7,B,B
559,2,7,B,B
560,2,7,B,B
561,2,7,B,B
562,2,7,B,B
563,2,7,B,B
564,2,7,B,B
565,2,7,B,B
566,2,7,B,B
567,2,7,B,B
568,2,7,B,B
569,2,7,B,B
570,2,7,B,B
571,2,7,B,B
572,2,7,B,B
573,2,7,B,B
574,2,7,B,B
575,2,7,B,B
576,3,7,0,0
577,3,7,0,0
578,3,7,0,0
579,3,7,0,0
580,3,7,0,0
581,3,7,0,0
582,3,7,0,0
583,3,7,0,0
584,3,7,0,0
585,3,7,0,0
586,3,7,0,0
587,3,7,0,0
588,3,7,0,0
589,3,7,0,0
590,3,7,0,0
591,3,7,0,0
592,3,7,0,0
593,3,7,0,0
594,3,7,0,0
595,3,7,0,0
596,3,7,0,0
597,3,7,0,0
598,3,7,0,0
599,3,7,0,0
600,2,6,2,2
601,2,6,2,2
602,2,6,2,2
603,2,6,2,2
604,2,6,2,2
605,2,6,2,2
606,2,6,2,2
607,2,6,2,2
608,2,6,2,2
609,2,6,2,2
610,2,6,2,2
611,2,6,2,2
612,2,6,2,2
613,2,6,2,2
614,2,6,2,2
615,2,6,2,2
616,2,6,2,2
617,2,6,2,2
618,2,6,2,2
619,2,6,2,2
620,2,6,2,2
621,2,6,2,2
622,2,6,2,2
623,2,6,2,2
624,2,7,3,3
625,2,7,3,3
626,2,7,3,3
627,2,7,3,3
628,2,7,3,3
629,2,7,3,3
630,2,7,3,3
631,2,7,3,3
632,2,7,3,3
633,2,7,3,3
634,2,7,3,3
635,2,7,3,3
636,2,7,3,3
