,Soprano,Alto,Tenor,Bass
1741,0,2,7,7
1643,0,3,3,3
1286,3,A,3,7
99,3,7,0,0
473,0,9,6,6
197,8,0,5,5
1286,3,9,5,5
729,2,s,s,2
1030,8,2,8,8
738,0,s,s,2
593,s,5,s,8
600,2,6,2,2
1681,0,8,5,5
779,A,7,s,A
293,7,B,7,7
1646,0,7,3,3
217,7,B,7,7
166,5,0,8,8
332,7,B,7,7
1804,0,0,0,0
462,2,9,6,6
273,5,5,5,5
1032,7,3,3,3
1482,4,7,0,0
156,5,0,8,8
69,5,2,0,0
779,A,7,s,A
716,9,6,2,2
1053,3,0,7,7
1554,8,0,5,5
1809,0,0,0,0
1407,5,5,8,8
138,4,7,A,A
1261,7,8,5,5
849,0,3,8,8
256,7,0,8,8
1423,5,1,A,A
659,0,7,3,3
310,7,B,7,7
245,7,0,8,8
1498,5,5,5,5
709,9,6,2,2
716,9,6,2,2
1502,5,5,5,5
395,2,A,7,7
100,3,7,0,0
214,8,0,5,5
354,s,s,s,s
207,8,0,5,5
928,0,2,A,A
1789,0,0,0,0
930,0,2,A,A
1169,5,2,2,2
1287,3,9,5,5
1221,3,1,A,A
749,A,s,s,2
172,7,0,4,4
1393,5,s,1,1
141,4,7,A,A
737,0,s,s,2
418,3,0,7,7
295,7,B,7,7
1103,5,2,A,A
358,s,s,s,s
1551,8,0,5,5
1362,0,4,0,0
1272,5,8,5,5
1220,3,1,A,A
1255,5,8,5,5
208,8,0,5,5
147,5,0,8,8
606,2,6,2,2
1270,7,8,5,5
1536,8,s,5,5
749,A,s,s,2
1028,5,7,7,7
293,7,B,7,7
634,2,7,3,3
1291,3,9,5,5
1002,7,2,3,3
1270,7,8,5,5
938,A,2,A,A
248,7,0,8,8
282,5,0,8,8
915,A,2,A,A
53,5,s,s,5
455,0,9,7,7
76,7,2,B,B
400,2,A,7,7
904,9,3,5,5
897,8,5,5,5
1014,8,0,8,8
1169,5,2,2,2
861,A,4,7,7
538,0,7,3,3
428,2,A,7,7
1336,1,5,A,A
459,2,9,6,6
258,7,0,5,5
456,2,9,6,6
736,0,s,s,2
607,2,6,2,2
1420,5,1,A,A
1578,9,3,5,5
1135,3,0,3,3
1790,0,0,0,0
923,A,2,A,A
1715,0,3,3,0
1439,5,0,0,0
1437,5,0,0,0
137,4,7,A,A
260,7,0,8,8
1754,0,2,7,7
644,2,7,3,3
597,3,7,0,0
179,7,0,4,4
225,7,B,7,7
40,7,3,0,0
879,8,7,5,5
1597,7,3,5,3
695,2,6,2,2
1086,5,2,A,A
136,4,7,A,A
295,7,B,7,7
12,7,3,0,0
1321,1,7,A,A
964,7,3,3,3
57,5,2,0,0
713,9,6,2,2
626,2,7,3,3
806,B,2,7,7
1194,5,B,7,7
286,5,0,8,8
1613,3,3,7,3
48,5,2,0,0
756,9,2,s,2
1477,5,7,0,0
1646,0,7,3,3
1213,3,1,A,A
123,4,7,0,0
1259,5,8,5,5
484,A,2,7,7
1404,5,5,8,8
529,0,7,3,3
1312,1,8,A,A
944,A,2,A,A
1004,7,2,3,3
306,7,B,7,7
660,0,7,3,3
285,5,0,8,8
177,7,0,4,4
332,7,B,7,7
891,8,5,5,5
954,7,3,0,0
79,7,2,B,B
784,A,5,s,A
202,8,0,5,5
1618,B,2,7,7
567,2,7,B,B
1211,3,0,0,0
1349,1,4,0,0
