,value
"0,4",0.9121265352556027
"0,5",0.2533112785062616
"0,6",0.11813295978434636
"0,7",0.09431323369738183
"0,45",1.0607949296441308
"0,46",1.0433627451183383
"0,47",1.0743832453971138
"0,56",0.480862981790608
"0,57",0.4569982490403663
"0,67",0.3286489947402248
"0,456",1.2635266488236925
"0,457",1.312745271467734
"0,467",1.3090679970919075
"0,567",0.897307476857358
"0,4567",1.5837221529529455
"0,4|5",0.2533112785062616
"0,4|6",0.11813295978434636
"0,4|7",0.09431323369738183
"0,4|56",0.480862981790608
"0,4|57",0.4569982490403663
"0,4|67",0.3286489947402248
"0,4|567",0.897307476857358
"0,5|6",0.11813295978434636
"0,5|7",0.09431323369738183
"0,5|46",0.2533112785062616
"0,5|47",0.2533112785062616
"0,5|67",0.2533112785062616
"0,5|467",0.2533112785062616
"0,6|7",0.09431323369738183
"0,6|45",0.11813295978434636
"0,6|47",0.11813295978434636
"0,6|57",0.11813295978434636
"0,6|457",0.11813295978434636
"0,7|45",0.09431323369738183
"0,7|46",0.09431323369738183
"0,7|56",0.09431323369738183
"0,7|456",0.09431323369738183
"0,45|46",1.0433627451183383
"0,45|47",1.0607949296441308
"0,45|56",0.480862981790608
"0,45|57",0.4569982490403663
"0,45|67",0.3286489947402248
"0,45|467",1.0607949296441308
"0,45|567",0.897307476857358
"0,46|47",1.0433627451183383
"0,46|56",0.480862981790608
"0,46|57",0.4569982490403663
"0,46|67",0.3286489947402248
"0,46|457",1.0433627451183383
"0,46|567",0.897307476857358
"0,47|56",0.480862981790608
"0,47|57",0.4569982490403663
"0,47|67",0.3286489947402248
"0,47|456",1.0743832453971138
"0,47|567",0.897307476857358
"0,56|57",0.4569982490403663
"0,56|67",0.3286489947402248
"0,56|457",0.480862981790608
"0,56|467",0.480862981790608
"0,57|67",0.3286489947402248
"0,57|456",0.4569982490403663
"0,57|467",0.4569982490403663
"0,67|456",0.3286489947402248
"0,67|457",0.3286489947402248
"0,456|457",1.2635266488236925
"0,456|467",1.2635266488236925
"0,456|567",0.897307476857358
"0,457|467",1.3090679970919075
"0,457|567",0.897307476857358
"0,467|567",0.897307476857358
"0,4|5|6",0.11813295978434636
"0,4|5|7",0.09431323369738183
"0,4|5|67",0.2533112785062616
"0,4|6|7",0.09431323369738183
"0,4|6|57",0.11813295978434636
"0,4|7|56",0.09431323369738183
"0,4|56|57",0.4569982490403663
"0,4|56|67",0.3286489947402248
"0,4|57|67",0.3286489947402248
"0,5|6|7",0.09431323369738183
"0,5|6|47",0.11813295978434636
"0,5|7|46",0.09431323369738183
