,value
"0,4",0.0115565741621605
"0,5",0.00858751473071823
"0,6",0.0049796061206896355
"0,7",0.007229873792475767
"0,45",0.01914399453709354
"0,46",0.021115138342204024
"0,47",0.0204815200752195
"0,56",0.019469111868062765
"0,57",0.019807882081875464
"0,67",0.019360284933753556
"0,456",0.030582794553194487
"0,457",0.03148256209460883
"0,467",0.032693408627303466
"0,567",0.03198238308959886
"0,4567",0.03956075809372598
"0,4|5",0.00858751473071823
"0,4|6",0.0049796061206896355
"0,4|7",0.007229873792475767
"0,4|56",0.0115565741621605
"0,4|57",0.0115565741621605
"0,4|67",0.0115565741621605
"0,4|567",0.0115565741621605
"0,5|6",0.0049796061206896355
"0,5|7",0.007229873792475767
"0,5|46",0.00858751473071823
"0,5|47",0.00858751473071823
"0,5|67",0.00858751473071823
"0,5|467",0.00858751473071823
"0,6|7",0.0049796061206896355
"0,6|45",0.0049796061206896355
"0,6|47",0.0049796061206896355
"0,6|57",0.0049796061206896355
"0,6|457",0.0049796061206896355
"0,7|45",0.007229873792475767
"0,7|46",0.007229873792475767
"0,7|56",0.007229873792475767
"0,7|456",0.007229873792475767
"0,45|46",0.01914399453709354
"0,45|47",0.01914399453709354
"0,45|56",0.01914399453709354
"0,45|57",0.01914399453709354
"0,45|67",0.01914399453709354
"0,45|467",0.01914399453709354
"0,45|567",0.01914399453709354
"0,46|47",0.0204815200752195
"0,46|56",0.019469111868062765
"0,46|57",0.019807882081875464
"0,46|67",0.019360284933753556
"0,46|457",0.021115138342204024
"0,46|567",0.021115138342204024
"0,47|56",0.019469111868062765
"0,47|57",0.019807882081875464
"0,47|67",0.019360284933753556
"0,47|456",0.0204815200752195
"0,47|567",0.0204815200752195
"0,56|57",0.019469111868062765
"0,56|67",0.019360284933753556
"0,56|457",0.019469111868062765
"0,56|467",0.019469111868062765
"0,57|67",0.019360284933753556
"0,57|456",0.019807882081875464
"0,57|467",0.019807882081875464
"0,67|456",0.019360284933753556
"0,67|457",0.019360284933753556
"0,456|457",0.030582794553194487
"0,456|467",0.030582794553194487
"0,456|567",0.030582794553194487
"0,457|467",0.03148256209460883
"0,457|567",0.03148256209460883
"0,467|567",0.03198238308959886
"0,4|5|6",0.0049796061206896355
"0,4|5|7",0.007229873792475767
"0,4|5|67",0.00858751473071823
"0,4|6|7",0.0049796061206896355
"0,4|6|57",0.0049796061206896355
"0,4|7|56",0.007229873792475767
"0,4|56|57",0.0115565741621605
"0,4|56|67",0.0115565741621605
"0,4|57|67",0.0115565741621605
"0,5|6|7",0.0049796061206896355
"0,5|6|47",0.0049796061206896355
"0,5|7|46",0.007229873792475767
"0,5|46|47",0.00858751473071823
"0,5|46|67",0.00858751473071823
