,value
"0,4",0.4757909858434744
"0,5",0.08293708748939732
"0,6",0.06530980848828141
"0,7",0.08086355662575537
"0,45",0.6888923497266608
"0,46",0.6903817019968548
"0,47",0.6912539362969887
"0,56",0.26060097326492054
"0,57",0.27486925284190705
"0,67",0.13764114999749089
"0,456",1.0486206598205443
"0,457",1.0596756934322398
"0,467",0.8192113673334723
"0,567",0.4038210949946255
"0,4567",1.2183260782903984
"0,4|5",0.08293708748939732
"0,4|6",0.06530980848828141
"0,4|7",0.08086355662575537
"0,4|56",0.26060097326492054
"0,4|57",0.27486925284190705
"0,4|67",0.13764114999749089
"0,4|567",0.4038210949946255
"0,5|6",0.06530980848828141
"0,5|7",0.08086355662575537
"0,5|46",0.08293708748939732
"0,5|47",0.08293708748939732
"0,5|67",0.08293708748939732
"0,5|467",0.08293708748939732
"0,6|7",0.06530980848828141
"0,6|45",0.06530980848828141
"0,6|47",0.06530980848828141
"0,6|57",0.06530980848828141
"0,6|457",0.06530980848828141
"0,7|45",0.08086355662575537
"0,7|46",0.08086355662575537
"0,7|56",0.08086355662575537
"0,7|456",0.08086355662575537
"0,45|46",0.6888923497266608
"0,45|47",0.6888923497266608
"0,45|56",0.26060097326492054
"0,45|57",0.27486925284190705
"0,45|67",0.13764114999749089
"0,45|467",0.6888923497266608
"0,45|567",0.4038210949946255
"0,46|47",0.6903817019968548
"0,46|56",0.26060097326492054
"0,46|57",0.27486925284190705
"0,46|67",0.13764114999749089
"0,46|457",0.6903817019968548
"0,46|567",0.4038210949946255
"0,47|56",0.26060097326492054
"0,47|57",0.27486925284190705
"0,47|67",0.13764114999749089
"0,47|456",0.6912539362969887
"0,47|567",0.4038210949946255
"0,56|57",0.26060097326492054
"0,56|67",0.13764114999749089
"0,56|457",0.26060097326492054
"0,56|467",0.26060097326492054
"0,57|67",0.13764114999749089
"0,57|456",0.27486925284190705
"0,57|467",0.27486925284190705
"0,67|456",0.13764114999749089
"0,67|457",0.13764114999749089
"0,456|457",1.0486206598205443
"0,456|467",0.8192113673334723
"0,456|567",0.4038210949946255
"0,457|467",0.8192113673334723
"0,457|567",0.4038210949946255
"0,467|567",0.4038210949946255
"0,4|5|6",0.06530980848828141
"0,4|5|7",0.08086355662575537
"0,4|5|67",0.08293708748939732
"0,4|6|7",0.06530980848828141
"0,4|6|57",0.06530980848828141
"0,4|7|56",0.08086355662575537
"0,4|56|57",0.26060097326492054
"0,4|56|67",0.13764114999749089
"0,4|57|67",0.13764114999749089
"0,5|6|7",0.06530980848828141
"0,5|6|47",0.06530980848828141
"0,5|7|46",0.08086355662575537
"0,5|46|47",0.08293708748939732
"0,5|46|67",0.08293708748939732
"0,5|47|67",0.08293708748939732
"0,6|7|45",0.06530980848828141
"0,6|45|47",0.06530980848828141
"0,6|45|57",0.06530980848828141
"0,6|47|57",0.06530980848828141
"0,7|45|46",0.08086355662575537
"0,7|45|56",0.08086355662575537
"0,7|46|56",0.08086355662575537
"0,45|46|47",0.6888923497266608
"0,45|46|56",0.26060097326492054
"0,45|46|57",0.27486925284190705
"0,45|46|67",0.13764114999749089
"0,45|46|567",0.4038210949946255
"0,45|47|56",0.26060097326492054
"0,45|47|57",0.27486925284190705
"0,45|47|67",0.13764114999749089
"0,45|47|567",0.4038210949946255
"0,45|56|57",0.26060097326492054
"0,45|56|67",0.13764114999749089
"0,45|56|467",0.26060097326492054
"0,45|57|67",0.13764114999749089
"0,45|57|467",0.27486925284190705
"0,45|467|567",0.4038210949946255
"0,46|47|56",0.26060097326492054
"0,46|47|57",0.27486925284190705
"0,46|47|67",0.13764114999749089
"0,46|47|567",0.4038210949946255
"0,46|56|57",0.26060097326492054
"0,46|56|67",0.13764114999749089
"0,46|56|457",0.26060097326492054
"0,46|57|67",0.13764114999749089
"0,46|67|457",0.13764114999749089
"0,46|457|567",0.4038210949946255
"0,47|56|57",0.26060097326492054
"0,47|56|67",0.13764114999749089
"0,47|57|67",0.13764114999749089
"0,47|57|456",0.27486925284190705
"0,47|67|456",0.13764114999749089
"0,47|456|567",0.4038210949946255
"0,56|57|67",0.13764114999749089
"0,56|57|467",0.26060097326492054
"0,56|67|457",0.13764114999749089
"0,56|457|467",0.26060097326492054
"0,57|67|456",0.13764114999749089
"0,57|456|467",0.27486925284190705
"0,67|456|457",0.13764114999749089
"0,456|457|467",0.8192113673334723
"0,456|457|567",0.4038210949946255
"0,456|467|567",0.4038210949946255
"0,457|467|567",0.4038210949946255
"0,4|5|6|7",0.06530980848828141
"0,4|56|57|67",0.13764114999749089
"0,5|46|47|67",0.08293708748939732
"0,6|45|47|57",0.06530980848828141
"0,7|45|46|56",0.08086355662575537
"0,45|46|47|56",0.26060097326492054
"0,45|46|47|57",0.27486925284190705
"0,45|46|47|67",0.13764114999749089
"0,45|46|47|567",0.4038210949946255
"0,45|46|56|57",0.26060097326492054
"0,45|46|56|67",0.13764114999749089
"0,45|46|57|67",0.13764114999749089
"0,45|47|56|57",0.26060097326492054
"0,45|47|56|67",0.13764114999749089
"0,45|47|57|67",0.13764114999749089
"0,45|56|57|67",0.13764114999749089
"0,45|56|57|467",0.26060097326492054
"0,46|47|56|57",0.26060097326492054
"0,46|47|56|67",0.13764114999749089
"0,46|47|57|67",0.13764114999749089
"0,46|56|57|67",0.13764114999749089
"0,46|56|67|457",0.13764114999749089
"0,47|56|57|67",0.13764114999749089
"0,47|57|67|456",0.13764114999749089
"0,456|457|467|567",0.4038210949946255
"0,45|46|47|56|57",0.26060097326492054
"0,45|46|47|56|67",0.13764114999749089
"0,45|46|47|57|67",0.13764114999749089
"0,45|46|56|57|67",0.13764114999749089
"0,45|47|56|57|67",0.13764114999749089
"0,46|47|56|57|67",0.13764114999749089
"0,45|46|47|56|57|67",0.13764114999749089
"1,4",0.09314885726412526
"1,5",0.8303503794154082
"1,6",0.12494637258615884
"1,7",0.0850546744170184
"1,45",1.0390744158670882
"1,46",0.32544403417942497
"1,47",0.2799806416358613
"1,56",1.0005504922888695
"1,57",0.992998487807264
"1,67",0.23134866396283954
"1,456",1.3559274373963328
"1,457",1.3530316176303114
"1,467",0.5020585560411036
"1,567",1.0930922530369445
"1,4567",1.4666377325953162
"1,4|5",0.09314885726412526
"1,4|6",0.09314885726412526
"1,4|7",0.0850546744170184
"1,4|56",0.09314885726412526
"1,4|57",0.09314885726412526
"1,4|67",0.09314885726412526
"1,4|567",0.09314885726412526
"1,5|6",0.12494637258615884
"1,5|7",0.0850546744170184
"1,5|46",0.32544403417942497
"1,5|47",0.2799806416358613
"1,5|67",0.23134866396283954
"1,5|467",0.5020585560411036
"1,6|7",0.0850546744170184
"1,6|45",0.12494637258615884
"1,6|47",0.12494637258615884
"1,6|57",0.12494637258615884
"1,6|457",0.12494637258615884
"1,7|45",0.0850546744170184
"1,7|46",0.0850546744170184
"1,7|56",0.0850546744170184
"1,7|456",0.0850546744170184
"1,45|46",0.32544403417942497
"1,45|47",0.2799806416358613
"1,45|56",1.0005504922888695
"1,45|57",0.992998487807264
"1,45|67",0.23134866396283954
"1,45|467",0.5020585560411036
"1,45|567",1.0390744158670882
"1,46|47",0.2799806416358613
"1,46|56",0.32544403417942497
"1,46|57",0.32544403417942497
"1,46|67",0.23134866396283954
"1,46|457",0.32544403417942497
"1,46|567",0.32544403417942497
"1,47|56",0.2799806416358613
"1,47|57",0.2799806416358613
"1,47|67",0.23134866396283954
"1,47|456",0.2799806416358613
"1,47|567",0.2799806416358613
"1,56|57",0.992998487807264
"1,56|67",0.23134866396283954
"1,56|457",1.0005504922888695
"1,56|467",0.5020585560411036
"1,57|67",0.23134866396283954
"1,57|456",0.992998487807264
"1,57|467",0.5020585560411036
"1,67|456",0.23134866396283954
"1,67|457",0.23134866396283954
"1,456|457",1.3530316176303114
"1,456|467",0.5020585560411036
"1,456|567",1.0930922530369445
"1,457|467",0.5020585560411036
"1,457|567",1.0930922530369445
"1,467|567",0.5020585560411036
"1,4|5|6",0.09314885726412526
"1,4|5|7",0.0850546744170184
"1,4|5|67",0.09314885726412526
"1,4|6|7",0.0850546744170184
"1,4|6|57",0.09314885726412526
"1,4|7|56",0.0850546744170184
"1,4|56|57",0.09314885726412526
"1,4|56|67",0.09314885726412526
