,value
"0,4",0.0025581768891816416
"0,5",0.0009886662669877212
"0,6",0.0013477414475321107
"0,7",0.0012205958711464409
"0,45",0.00646892240200247
"0,46",0.006134567103510071
"0,47",0.005764738054160649
"0,56",0.004441742063865934
"0,57",0.004232487228282071
"0,67",0.0024528642445665457
"0,456",0.013385773339109987
"0,457",0.012480197552540123
"0,467",0.007732934474449947
"0,567",0.006355452160027024
"0,4567",0.01462327127980182
"0,4|5",0.0009886662669877212
"0,4|6",0.0013477414475321107
"0,4|7",0.0012205958711464409
"0,4|56",0.0025581768891816416
"0,4|57",0.0025581768891816416
"0,4|67",0.0024528642445665457
"0,4|567",0.0025581768891816416
"0,5|6",0.0009886662669877212
"0,5|7",0.0009886662669877212
"0,5|46",0.0009886662669877212
"0,5|47",0.0009886662669877212
"0,5|67",0.0009886662669877212
"0,5|467",0.0009886662669877212
"0,6|7",0.0012205958711464409
"0,6|45",0.0013477414475321107
"0,6|47",0.0013477414475321107
"0,6|57",0.0013477414475321107
"0,6|457",0.0013477414475321107
"0,7|45",0.0012205958711464409
"0,7|46",0.0012205958711464409
"0,7|56",0.0012205958711464409
"0,7|456",0.0012205958711464409
"0,45|46",0.006134567103510071
"0,45|47",0.005764738054160649
"0,45|56",0.004441742063865934
"0,45|57",0.004232487228282071
"0,45|67",0.0024528642445665457
"0,45|467",0.00646892240200247
"0,45|567",0.006355452160027024
"0,46|47",0.005764738054160649
"0,46|56",0.004441742063865934
"0,46|57",0.004232487228282071
"0,46|67",0.0024528642445665457
"0,46|457",0.006134567103510071
"0,46|567",0.006134567103510071
"0,47|56",0.004441742063865934
"0,47|57",0.004232487228282071
"0,47|67",0.0024528642445665457
"0,47|456",0.005764738054160649
"0,47|567",0.005764738054160649
"0,56|57",0.004232487228282071
"0,56|67",0.0024528642445665457
"0,56|457",0.004441742063865934
"0,56|467",0.004441742063865934
"0,57|67",0.0024528642445665457
"0,57|456",0.004232487228282071
"0,57|467",0.004232487228282071
"0,67|456",0.0024528642445665457
"0,67|457",0.0024528642445665457
"0,456|457",0.012480197552540123
"0,456|467",0.007732934474449947
"0,456|567",0.006355452160027024
"0,457|467",0.007732934474449947
"0,457|567",0.006355452160027024
"0,467|567",0.006355452160027024
"0,4|5|6",0.0009886662669877212
"0,4|5|7",0.0009886662669877212
"0,4|5|67",0.0009886662669877212
"0,4|6|7",0.0012205958711464409
"0,4|6|57",0.0013477414475321107
"0,4|7|56",0.0012205958711464409
"0,4|56|57",0.0025581768891816416
"0,4|56|67",0.0024528642445665457
"0,4|57|67",0.0024528642445665457
"0,5|6|7",0.0009886662669877212
"0,5|6|47",0.0009886662669877212
"0,5|7|46",0.0009886662669877212
"0,5|46|47",0.0009886662669877212
"0,5|46|67",0.0009886662669877212
"0,5|47|67",0.0009886662669877212
"0,6|7|45",0.0012205958711464409
"0,6|45|47",0.0013477414475321107
"0,6|45|57",0.0013477414475321107
"0,6|47|57",0.0013477414475321107
"0,7|45|46",0.0012205958711464409
"0,7|45|56",0.0012205958711464409
"0,7|46|56",0.0012205958711464409
"0,45|46|47",0.005764738054160649
"0,45|46|56",0.004441742063865934
"0,45|46|57",0.004232487228282071
"0,45|46|67",0.0024528642445665457
"0,45|46|567",0.006134567103510071
"0,45|47|56",0.004441742063865934
"0,45|47|57",0.004232487228282071
"0,45|47|67",0.0024528642445665457
"0,45|47|567",0.005764738054160649
"0,45|56|57",0.004232487228282071
"0,45|56|67",0.0024528642445665457
"0,45|56|467",0.004441742063865934
"0,45|57|67",0.0024528642445665457
"0,45|57|467",0.004232487228282071
